poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
120,SRE113,SRE-03-003,1,Sí,como realizo una cita para la recepcion de mis documentos para una renovacion,poner un apartado para las citas,2016-01-02,1.0,1,how i make an appointment to receive my documents for renewal,put aside for appointments,,,cita recepción documentos renovación,apartado citas,,,appointment documents renewal,appointments
125,SRE113,SRE-03-003,1,Sí,no esta la liga para realizar las citas por internet,todo el sitio es redundante y no sirve para encontrar la liga de citas es todo un misterio y cuando la encontre no se pudo abrir por problemas de verificacion en los permisos de proteccion de informacion,2016-01-02,0.0,0,not the league for internet dating,however the site is redundant and does not work to find the league dating is a mystery and when i found could not be opened for verification issues permits data protection,internet,redundante,citas internet,sitio redundante liga citas misterio problemas verificación permisos protección información,,redundant,league internet dating,site redundant work league dating mystery verification issues permits data protection
126,SRE112,SRE-03-002,1,No,,es un verdadero problema encontrar el acceso para ingresar al tramite en su encabezado deberia haber una opcion que diga ingresar a la cuenta para realizar el tramite ya lo he hecho  veces y en las  veces me he tardado bastante en llegar a esa opcion y ahora mismo no puedo por que tan complicado en pasaportes debe decir registrarte o entrar o algo pero nada nada estoy enojada,2016-01-03,0.0,0,,is a real problem finding access to enter the process in its header should have an option that says enter the account for the process ive done  times and  times ive taken enough to reach that option and now i can not why so complicated passports must register or enter words or something but nothing nothing im angry,,verdadero encabezado hecho tardado mismo complicado enojada,,verdadero problema acceso trámite encabezado opción cuenta trámite hecho veces veces tardado opción mismo complicado pasaportes enojada,,real enough complicated angry,,real problem access enter process header option account process times times enough reach option complicated passports words something nothing nothing angry
127,SRE113,SRE-03-003,1,No,,que se pueda hacer la cita en linea com antes en caso de que si se pueda entonces mejoren la manera en que se navega a traves de su pagina porque no se entiende nada,2016-01-04,0.0,0,,you can make an appointment online com before in the event that if you can then improve the way you navigate through your site because they do not understand anything,,,,cita línea com caso manera través página,,online,,appointment online com event way site anything
129,SRE112,SRE-03-002,0,Sí,como rayos agendar una cita por internet o es unicamente via telefonica entonces de que sirve la pagina de internet es ineficiente la pagina contiene informacion irrelevante en el inicio como su estructura y lo importante para un ciudadano comun no se encuentra,si existe una pagina de internet se pueden agendar citas por internet sin necesidad de realizar una llamada el menu principal deberia ser mas practico el mencionar la estructura de la secretaria es irrelevante para un ciudadano que busca unicamente los servicios que debe otorgar la secretaria y no los servidores publicos que finalmente no van a ayudar a un ciudadano comun,2016-01-04,0.0,0,how the hell schedule an appointment online or by phone only then what good is the website it is inefficient page contains irrelevant information at the beginning how its structure and the important thing for an ordinary citizen is not,if there is a website you can schedule appointments online without having to make a call the main menu should be more practical mentioning the structure of the secretariat it is irrelevant to a citizen who seeks only the services that should give secretary and not the public servants who ultimately not going to help a common citizen,telefónica ineficiente irrelevante importante común,principal práctico secretaria irrelevante ciudadano públicos común,rayos cita vía telefónica página ineficiente página información irrelevante inicio estructura importante ciudadano común,página citas necesidad llamada menú principal práctico estructura secretaria irrelevante ciudadano servicios secretaria servidores públicos ciudadano común,good inefficient irrelevant important ordinary,main practical Secretariat irrelevant public common,hell schedule appointment phone good website inefficient page irrelevant information beginning structure important thing ordinary citizen,website schedule appointments make call main menu practical structure Secretariat irrelevant citizen services Secretary public servants common citizen
131,SRE117,SRE-03-006-A,1,No,,"que en las oficinas dieran prioridad al tramite para los nios ya que el esperar a veces mas de  horas hacen que ellos se desesperen
gracias",2016-01-04,1.0,1,,"offices that give priority to the process for children as the wait sometimes more than  hours make them despair
thank you",,,,oficinas prioridad trámite niños veces horas Gracias,,,,Offices priority process children hours despair
133,SRE113,SRE-03-003,0,Sí,informacion sobre pagos extras y que se necesita exactamente,ser mas prudentes y ayudar al cliente como es necesario no tratarlo como a un inepto o que les estan pidiendo un favor,2016-01-04,0.0,0,information on overpayments and it takes exactly,be more prudent and help the client how necessary not treat him like an inept or are asking for a favor,,prudentes necesario inepto,información pagos extras,prudentes cliente necesario inepto favor,,prudent necessary inept,information overpayments,prudent help client necessary treat inept asking favor
135,SRE113,SRE-03-003,1,No,,tengo una semana tratando de hacer cita al   y la grabacion no me acepta el numero  en el menu  ni ningun numero sigue la grabadora hablando y yo necesito una cita quiero hacer la cita por internet y no funciona  hablo a la oficina de enlace en apodaca y no contestan hablo a la oficina de monterrey y me dicen que debo hablar al  que menciona para la cita y como hago cita sino funciona,2016-01-04,0.0,0,,i have a week trying to make an appointment to the   and recording did not accept the number  in the menu or any number follow the talking recorder and i need an appointment i want to make an appointment online and does not work i speak to the liaison office in apodaca and no answer i speak to the monterrey office and tell me that i must speak to the  mentioned for the appointment and how i cita sino funciona,,grabadora apodaca monterrey,,semana cita grabación numero menu numero grabadora cita cita internet oficina enlace apodaca oficina monterrey cita,,online liaison,,week appointment recording number menu number talking recorder appointment appointment online work liaison office Apodaca answer Monterrey office appointment CITA SINO FUNCIONA ¡¡¡
139,SAT766,SAT-01-035,1,Sí,acuse de recepcion donde tramitarlo,ha sido dificil mandar las declaraciones con la nueva interfaz,2016-01-04,1.0,1,acknowledgment which process it,it has been difficult to send statements to the new interface,,difícil nueva,recepción tramitarlo,difícil declaraciones nueva interfaz,,difficult new,Acknowledgment process,difficult statements new interface
140,INM820,INM-03-009-D,0,Sí,la liga para generar el pago de derechos nunca aparece asi como la liga para realizar la solicitud en linea,la anterior pagina estaba muy clara los requisitos solicitudes seguimiento y pago de derechos no es funcional como se encuentra ahora,2016-01-04,2.0,1,the league to generate royalty payments never appears and the league to make the request online,previous page was very clear requirements applications monitoring and payment of fees is not functional as it is now,,anterior clara funcional,liga pago derechos liga solicitud línea,anterior página clara requisitos solicitudes seguimiento pago derechos funcional,royalty,Previous clear functional,league royalty payments league request,Previous page clear requirements applications monitoring payment fees functional
142,SRE159,SRE-03-015,1,Sí,incluir en la hoja de requisitos como notas de observacion los pormenores mas frecuentes en que nos hallamos implicados tales comoq la acta sea recienterevisar q no sea contemporaneay algunos mas que sus empleados ya conocen de sobra,descentralizar la expedicion de visa y pasaportey q al usuario que haya perdido una cita x cuestiones d requisitos darles prioridad en su proxima citay q una cita no tenga un tiempo mayor a tres dias de espera del momento que se solicitaque entre en operacion la oficina de enlace de la cd d coatzacoalcos veracruz xfavor ya q habemos muchos usuario que requerimos del servicio,2016-01-04,0.0,1,include in the sheet requirements observation notes how frequently the details in which we are involved such how q the record is recent check q it is not contemporary and some more that their employees already know plenty ,decentralize the issuance of visa and pasaporteyq to the user who has missed an appointment x issues d give priority requirements at your next appointment  yq an appointment no longer have a three day waiting for the time requested  that into operation the liaison office of the cd d coatzacoalcos veracruz xfavor and q habemos many users that the service we require ,frecuentes implicados reciente contemporánea,perdido próxima mayor,hoja requisitos notas observación pormenores frecuentes implicados acta reciente contemporánea empleados sobra,expedición visa pasaporte.y q usuario perdido cita x cuestiones d requisitos prioridad próxima tiempo mayor días momento operación oficina cd d coatzacoalcos veracruz usuario servicio,recent contemporary,next many,sheet requirements observation notes details q record recent q contemporary employees plenty,Decentralize issuance visa pasaporte user appointment x issues priority requirements next appointment appointment day waiting time operation liaison office cd coatzacoalcos veracruz xfavor q many users service
144,ISSSTE628,FOVISSSTE-00-010-C,0,Sí,falta poder realizar o consultar la actualizacion del estado de cuenta en linea no todos tenemos horario como el de ustedes ni tampoco trabajamos en el centro,poder consultar o realizar tramites en linea,2016-01-04,0.0,0,failure to perform or refer to update account status online we not all have times like yours nor work in the center,to consult or carry out procedures online,,,actualización línea horario centro,trámites línea,,,Failure update account status times work center,procedures
146,SRE160,SRE-03-016,0,Sí,contesten el telefono mexitel,contestar el telefono para citas,2016-01-04,0.0,1,mexitel answer the phone,answer the phone for appointments,,,teléfono,teléfono citas,,,MEXITEL answer phone,phone appointments
148,INM278,INM-03-008,1,Sí,especificar el papeleo que se requiere para el tramite,el tramite en otros estados asi se podra realizar el tramite mas rapido ya q hay q viajar largas distancias,2016-01-05,1.0,1,specify the required paperwork for processing,the process in other states so may make the process more quickly and there q q travel long distances,,rapido largas,papeleo trámite,trámite trámite rapido largas distancias,,long,paperwork processing,process states process q travel long distances
153,SEGOB171,SEGOB-05-005,0,Sí,contestar el telefono para citas,"ahora bien si ya se contaba con un curp correcto porque ahora no existe fue error al pasar datos uno nacio foraneo y tiene que conseguir acta de nacimiento original
uno no puede corregir los errores de la autoridad",2016-01-05,0.0,0,answer the phone for appointments,"but if you already had a right curp because now not exist error was spending data one foreign born and have to get original birth certificate
one can not correct the errors of authority",,correcto foráneo original autoridad,citas,CURP correcto error datos foráneo acta nacimiento original errores autoridad,,right foreign original correct,phone appointments,right CURP error spending data foreign original birth certificate correct errors authority
154,SFP54,SFP-04-001,1,Sí,que hay oficinas en todos los estados de la republica mexicana,que hay oficinas en todos los estados de la republica mexicana,2016-01-05,1.0,1,there are offices in all states of the mexican republic,there are offices in all states of the mexican republic,república mexicana,república mexicana,oficinas república mexicana,oficinas república mexicana,,,offices Mexican Republic,offices Mexican Republic
157,SRE260,SRE-01-033,1,No,,actualizaron la pagina y no aparece el seguimiento de tramite tengo  hora tratando de ver el proceso de mi tramite y nada tengo mas de un mes en espera,2016-01-05,0.0,1,,they updated the page and follow procedure appears i have  hour trying to see the status of my application and i have nothing more than a month waiting,,,,página seguimiento trámite hora proceso trámite mes,,,,page follow procedure hour status application nothing month
160,SRE159,SRE-03-015,1,Sí,"ayer fui a mi cita y no me aceptaron el pago que llevaba del pasaporte deberian poner un ejemplo o algo para cuando se hacen los pagos por internet
saludos",sus motivos por rechazo,2016-01-05,0.0,1,"yesterday i went to my appointment and did not accept me wearing payment of the passport should set an example or something for when payments are made online
cheers",their reasons for rejection,internet,,cita pago pasaporte ejemplo pagos internet Saludos,motivos rechazo,set,,Yesterday appointment payment passport set example something payments Cheers,reasons rejection
162,INM823,INM-03-010-B,0,Sí,no estan los documentos para el pago de derechos y el formato para realizar el tramite migratorio,poner toda la informacion que corresponde al tramite esta muy escasa,2016-01-05,0.0,1,are not documents for the payment of fees and the format for the migration process,put all the information corresponding to the process it is very scarce,migratorio,escasa,documentos derechos formato trámite migratorio,información trámite escasa,,scarce,documents payment fees format migration process,information process scarce
163,SRE112,SRE-03-002,0,Sí,"que se indique donde y como bajar el formato de pago y en que institucion bancaria realizarlo

el formato de la pagina de la secretaria de relaciones exteriores esta muy confusa

lejos de simplificar los tramites o de encontrar informacion lo confunden mas","hacer la pagina mas sencilla y no tan complicada

es imposible acceder al directorio de funcionarios y los datos para contactarlos

cual simplificacion

cual transparencia

un estudiante de bachillerato puede hacer mejor una pagina",2016-01-06,0.0,0,"that indicate where and how to lower payment format and in what bank do it

the format of the website of the ministry of foreign affairs is very confusing

far from simplifying procedures or to find more information confuse","make the most simple and not so complicated page

it is impossible to access the directory officials and data to contact them

what simplification

what transparency

a high school student can better make a page",bancaria confusa,sencilla complicada imposible bachillerato mejor,formato pago institución bancaria formato página confusa trámites información,página sencilla complicada imposible directorio funcionarios datos simplificación transparencia estudiante bachillerato mejor página,lower Foreign confusing,simple complicated impossible high,lower payment format bank format website Ministry Foreign Affairs confusing procedures information,simple complicated page impossible access directory officials data contact simplification transparency high school student page
169,SEDESOL665,SEDESOL-10-032-D,1,Sí,"utilizar un lenguaje mas fluido y no tan formal
por ejemplo 
los objetivos o requisitos que requiere el proyecto para su evaluacion que explicaran mas a detalle pero mas simplificado y resumido",los objetivos o requisitos que requiere el proyecto para su evaluacion que explicaran mas a detalle pero mas simplificado y resumido,2016-01-06,1.0,1,"use a more fluid language and not as formal
for example
objectives or requirements required for the project for evaluation to explain more in detail but more simplified and summarized",objectives or requirements required for the project for evaluation to explain more in detail but more simplified and summarized,fluido formal simplificado resumido,simplificado resumido,lenguaje fluido formal ejemplo objetivos requisitos proyecto evaluación detalle simplificado resumido,objetivos requisitos proyecto evaluación detalle simplificado resumido,formal,,fluid language formal example Objectives requirements project evaluation detail,Objectives requirements project evaluation detail
172,SRE147,SRE-03-007-D,0,Sí,donde se agendan las citas fatal interfase,en mucho derivar en una sola pestaa donde rayos se agendan las citas via internet,2016-01-06,0.0,0,where appointments are scheduled fatal interface,much lead to a single ray tab where appointments are scheduled via the internet,fatal,sola,citas fatal interfase,sola pestaña rayos citas internet,fatal,Much single,appointments fatal interface,Much single ray tab appointments Internet
176,SRE112,SRE-03-002,1,Sí,los numeros de cuenta al que se realiza el deposito y las instituciones bancarias en las que se puede realizar el pago,mas informacion,2016-01-07,1.0,1,account numbers to which the deposit and banking institutions in which they can make the payment is made,more information,bancarias,,números depósito instituciones bancarias pago,información,,,account numbers deposit banking institutions payment,information
179,INM821,INM-03-009-E,1,Sí,creo que en esta pagina necesita poner el formato de pago de derechoses que ahora no puedo encontrarloespecialmente para la persona que no entiende tanto espaolcomo yo,el website viejo es mejor que lo que nuevoel nuevo es demasiado complicado,2016-01-07,0.0,1,i think on this page you need to put the format of payment of fees is that now i can not encontrarloespecialmente for the person who does not understand much spanish like me,the old website is better than new the new one is too complicated,,viejo nuevo nuevo complicado,página formato pago derechos persona español,website viejo nuevo nuevo complicado,Spanish,old new new complicated,page need format payment fees encontrarlo.especialmente person Spanish,old website new new one complicated
180,SRE113,SRE-03-003,0,Sí,como hacer el pago enlace para la forma de pago y lugares donde se puede pagar,agregando datos y el enlace para imprimir el formato de pago de derechos productos y aprovechamiento,2016-01-07,1.0,1,making payment link the payment and places where you can pay,adding data and link to print payment format products and exploitation rights,,derechos,pago enlace pago lugares,datos formato pago derechos productos aprovechamiento,,,payment link payment places,data link print payment format products exploitation rights
181,STPS585,STPS-04-003,1,Sí,no se ubica el formato cd,suban yo faciliten la ubicacion de los formatos,2016-01-07,1.0,1,do not locate the cd format,suban and  or facilitate the location of formats,,,formato,ubicación formatos,,facilitate,CD format,Suban facilitate location formats
185,SRE112,SRE-03-002,0,Sí,las ligas de las oficinas de enlace no funcionan y la informacion resulta algo confusa para mucha gente,que la informacion sea muy concisa sin tantos saltos de un link a otro (que de todas maneras no funcionan correctamente y posiblemente un chat en linea pudiera ser de mucha ayuda para ayudar,2016-01-07,1.0,2,leagues liaison offices do not work and the information is somewhat confusing to many people,the information is very concise without so many jumps from one link to another (which anyway do not work correctly and possibly an online chat could be helpful to help,oficinas confusa,concisa chat,ligas oficinas enlace información confusa gente,información concisa saltos link maneras chat línea ayuda,liaison confusing many,many online helpful,Leagues liaison offices information confusing many people,information concise many jumps link online chat helpful help
186,SRE112,SRE-03-002,0,Sí,enfocarse en poder programar la cita por medio de la web,mejorar el programa para poder agendar citas por la web,2016-01-07,0.0,0,focus on appointment setting the power through the web,in order to improve the program for web schedule appointments,,,ENFOCARSE CITA MEDIO,CITAS WEB,,,APPOINTMENT POWER WEB,ORDER PROGRAM WEB schedule appointments
187,SFP54,SFP-04-001,0,Sí,estatus de tramite,la pagina web,2016-01-07,0.0,0,status of proceedings,the website,,,ESTATUS TRÁMITE,PÁGINA,,,STATUS PROCEEDINGS,website
192,STPS582,STPS-04-002,0,Sí,proporcionar el nuevo formato dc en version editable,aclarar cuando se puede presentar en electronico o fisico,2016-01-07,1.0,1,providing the new dc format editable version,clarify when it can be in electronic or physical,nuevo editable,electrónico físico,nuevo formato versión editable,electrónico físico,new editable,electronic physical,new DC format editable version,electronic physical
193,SRE112,SRE-03-002,0,Sí,los requisitos para tramitar el pasaporte por internet como se anuncio en el mes de septiembre del ,que se pueda renovar el pasaporte por internet como la sre lo anuncio en el mes de septiembre del  ya que no hay disponibilidad para hacer citas para los meses de enero y febrero del lo cual es una verdadera problematica para los que requerimos renovacion,2016-01-07,0.0,1,the requirements for online processing passport as announced in september ,you can renew your passport online how sre was announced in september  since there is no availability for appointments for the months of january and february  which is a problematic true for which we require renewal ,,verdadera,requisitos pasaporte internet mes septiembre,pasaporte internet mes septiembre disponibilidad citas meses enero febrero verdadera problemática renovación,online,online problematic true,requirements online processing passport September,passport online SRE September availability appointments months January February problematic true renewal
194,SRE113,SRE-03-003,0,Sí,los pasos para hacer una cita no encuentro la manera de hacerla en internet hay paginas donde piden un pago para poder hacer una cita y para hacer el pago me piden la cita osea que como como hacer una citapaso a paso,entiendo que quieren agilizar el tramite pero no podrian hacer algo simple para mi ha sido mas sencillo hacer una cita para una visa que para un pasaporte,2016-01-07,1.0,2,steps to make an appointment can not find the way to make internet pages where they ask no payment to make an appointment and to make payment ask me how the bone appointment   how to make an appointment step by step,i understand they want to speed up the process but could not do something simple for me it was easier to make an appointment for a visa for a passport,,simple sencillo,pasos cita encuentro manera internet paginas pago cita pago cita cita paso paso,trámite simple sencillo cita visa pasaporte,,simple easier,steps appointment find way Internet pages payment make appointment payment ask bone appointment appointment step step,speed process something simple easier appointment visa passport
195,SRE112,SRE-03-002,0,Sí,la sede de tramite para los que vivimos en la delegacion venustiano carranza,clarar mejor donde se realiza el tramite y que tiempo lleva este solo se menciona documentacion y costos pero no dice nada realmente del proceso,2016-01-07,1.0,1,host process for those who live in the delegation venustiano carranza,clarar better where the procedure is done and how long it takes documentation and costs only mentioned but says nothing really of the process,,,sede trámite delegación,trámite tiempo documentación costos proceso,live,better,Host process live delegation Venustiano Carranza,Clarar better procedure Documentation costs nothing process
196,SRE112,SRE-03-002,1,Sí,me informan que puede realizarse la cita via internet pero no veo ningun enlace para realizar el tramite,favor de colocar el enlace para solicitar la cita y realizar el pago del pasaporte,2016-01-07,1.0,2,i am informed that the appointment via internet can be done but i see no link to perform the procedure,please place the link to request the appointment and pay of the passport,,,cita internet enlace trámite,Favor enlace cita pago pasaporte,,,appointment internet link perform procedure,link request appointment passport
197,SRE112,SRE-03-002,0,No,,todo como tienen para avion nuevo de pea pero no pueden mejorar este sitio de internet para hacer las citas en linea,2016-01-08,0.0,0,,however as they have for new aircraft pea but can not improve this website for online dating,,nuevo,,avión nuevo sitio internet citas línea,,new online,,new aircraft Peña website online dating
200,AFSEDF842,AFSEDF-01-014,1,Sí,"dice consulta como realizar la preinscripcion a la educacion basica

y por que no colocar el link que te lleva a esa consulta sugerida ",necesitan un area de aseguramiento de la calidad yo puedo ayudarles a eso  este mi celular  ofrezco mis servicios profesionales,2016-01-08,0.0,0,"dice see how to preregister to basic education

and why not put the link that takes you to see that suggested",need area quality assurance i can help them that  this my phone  my professional services offering,básica SUGERIDA,PROFESIONALES,preinscripción educación básica CONSULTA SUGERIDA,ÁREA ASEGURAMIENTO CALIDAD ESO SERVICIOS PROFESIONALES,basic,PROFESSIONAL,DICE basic education LINK,AREA QUALITY ASSURANCE PHONE PROFESSIONAL SERVICES
201,SRE112,SRE-03-002,0,Sí,el pinche enlace para sacar la cita,el pinche enlace para sacar la cita,2016-01-08,0.0,0,click the link to get the quote,click the link to get the quote,,,enlace cita,enlace cita,,,link quote,link quote
203,SRE147,SRE-03-007-D,1,No,,que las citas sean por internet con opcion a elegir horario,2016-01-08,1.0,1,,that appointments are internet with option to choose time,,,,citas horario,,,,appointments Internet option time
204,INM811,INM-03-009-A,1,No,,hacer posible realizar pagos en linea para evitar colas en el banco,2016-01-08,1.0,2,,make it possible to make payments online to avoid queues at the bank,,posible,,posible pagos línea colas banco,,possible,,possible payments queues bank
205,SFP54,SFP-04-001,1,No,,en un gobierno tan complejo y controversial como en el que actualmente vivimos es importante alzar la voz y si es necesario denunciar y sealar a los malos funcionarios pero tambien hay que festejar a las instituciones que estan haciendo bien las cosas y el tramite del pasaporte actualmente es agil rapido nada burocratico y con muy buena atencion a los asistentes el pasado domingo  enero asisti a tramitar mi pasaporte en las oficinas de cuajimalpa el personal en las oficinas te detallan la informacion necesaria no mas no menos la suficiente y clara dentro de las oficinas habia mujer que evidentemente llevaba su documentacion incompleta empezo a tener una actitud bastante prepotente al personal que daba los turnos y exigia el suyo a pesar de que llevaba la documentacion mal la mujer se acerco a un dictaminador le empezo a gritar groserias y le avento unos documentos la conducta y actitud de la mujer fue tan explosiva que todos dentro de la oficina nos dimos cuenta el dictaminador no decia nada unicamente escuchaba a la seora y respetuosamente la observaba mi sugerencia es que deberia existir personal de seguridad dentro de las oficinas porque el personal de las ventanillas ni tampoco el que entrega los turnos merecen que seoras como esta tengan conductas tan nefastas y groseras que pueden poner en peligro la integridad del personal seguramente como esa mujer ha habido muchas por lo cual seria indicado para que en cuanto exista una conducta similar de cualquier asistente a las oficinas sea evacuado inmediatamente,2016-01-09,2.0,2,,in such a complex and controversial government and in which we live it is important to speak out and if necessary report and point out the bad officers but we must also celebrate institutions that are doing things right and the processing of the passport is currently agile quick unbureaucratic and very good attention to attendees sunday january  process my passport attended at the offices of cuajimalpa staff in the offices you detailing no more no less sufficient and clear information within the offices woman had evidently carried his incomplete documentation she began to have a very arrogant attitude to the staff who gave shifts and demanded his despite carrying the wrong documentation the woman approached a decider began to yell obscenities and threw some documents behavior and attitude of women was so explosive that everyone in the office we realized the decider said nothing only listened respectfully to the lady and watched my suggestion is that there should be security personnel inside the offices because the staff of the windows nor the handing shifts deserve ladies like this have such dire and rude behavior that can endanger the integrity of staff  sure how that woman have been many so it would be suitable for that as there is a similar conduct of any office assistant be evacuated immediately,,complejo controversial importante necesario malos ágil rápido burocrático buena asistentes pasado oficinas personal necesaria suficiente clara incompleta prepotente personal actitud explosiva personal personal nefastas groseras personal indicado similar oficinas evacuado,,gobierno complejo controversial importante voz necesario malos funcionarios instituciones cosas trámite pasaporte ágil rápido burocrático buena atención asistentes pasado domingo enero pasaporte oficinas personal oficinas información necesaria suficiente clara oficinas mujer documentación incompleta actitud prepotente personal turnos pesar documentación mujer dictaminador groserías documentos conducta actitud mujer explosiva oficina cuenta dictaminador señora sugerencia personal seguridad oficinas personal ventanillas turnos señoras conductas nefastas groseras peligro integridad personal mujer indicado cuanto conducta similar asistente oficinas evacuado,,complex controversial important necessary bad agile quick unbureaucratic good less sufficient clear incomplete arrogant wrong explosive dire rude Sure many suitable similar,,complex controversial government important speak necessary report point bad officers institutions things passport agile quick unbureaucratic good attention attendees Sunday January process passport offices Cuajimalpa staff offices less sufficient clear information offices woman incomplete documentation arrogant attitude staff shifts wrong documentation woman Decider yell obscenities documents behavior attitude women explosive everyone office Decider nothing lady suggestion security personnel offices staff windows shifts ladies dire rude behavior integrity staff Sure woman many suitable similar conduct office assistant
207,SFP54,SFP-04-001,0,Sí,den los datos que se solicitan es una perdida de tiempo tramitar las cosas en sus oficinas ya que son muy lentos y atienden pesimo,todo,2016-01-09,0.0,0,give the information requested is a waste of time to process things in their offices as they are very slow and serve lousy,everything,oficinas lentos pésimo,,datos pérdida tiempo cosas oficinas lentos pésimo,,slow lousy,,information waste time process things offices slow lousy,EVERYTHING
208,SRE112,SRE-03-002,1,No,,"podrian empezar con tener activa la linea telefonica y el link de internet para agendar las citas he intentado hacerlo de ambas formas y ninguna de las dos esta funcionando 
por su atencion gracias",2016-01-09,0.0,0,,"could start with having active telephone line and internet link to schedule appointments i have tried it both ways and neither is working
for your attention thanks",,activa telefónica intentado,,activa línea telefónica link internet citas intentado formas atención gracias,,active,,active telephone line Internet link schedule appointments ways attention thanks
