Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha,Sentimiento 1,Sentimiento 2,1.3 Inglés,1.4 Inglés
217,IMSS164,IMSS-02-008,Sí,Sí,"yo quiero cambiarme de consultorio, ya que estoy dada de alta en otro municipio y no puedo, ya que tengo que ir directo al nuevo consultorio, podrían hacerlo más fácil vía Internet así los que tenemos horario corrido se nos facilitaran los trámites.","el trámite de cambio de consultorios vía Internet, que no aparezca la pantalla de que ya está asignado el nss",2016-01-11,0,1,"I want to change my office, as I am discharged in another town and I can not because I have to go straight to the new office could make it easier via the Internet so that we straight time we facilitate the paperwork.","the process of changing offices via the Internet, the screen display is not already assigned the nss"
218,SFP54,SFP-04-001,No,Sí,"En General, es una porquería su página. No está a la altura de otras páginas y la información está pésimamente clasificada. información encimada. teléfonos mal separados entre sí etc.etc.",todo,2016-01-11,0,0,"In general, it sucks your page. It is not up to other pages and information is badly classified. Encimada information. wrong phones apart from each other etc.etc.",everything
219,SEP71,SEP-01-031-A,No,No,,"QUE SEAN SERIOS EN ESTE TIPO DE TRAMITES, SON UNOS BURÓCRATAS DE TERCER MUNDO, TENGO MÁS DE DOS MESES QUE NO ME HAN RESUELTO MI trámite DE CEDULA",2016-01-12,0,0,,"THEY ARE SERIOUS IN SUCH PROCEEDINGS ARE bureaucrats THIRD WORLD, I HAVE MORE THAN TWO MONTHS HAVE RESOLVED ME MY PROCESS CEDULA"
221,SEDENA38,SEDENA-01-009,Sí,Sí,Donde se puede realizar el pago correspondiente y por ende los números de referencia para hacerlo ó en su caso poder imprimir una hoja para poder hacer el pago,Hacer los pagos en línea por transferencia sería una buena opción,2016-01-12,2,2,Where you can pay and therefore corresponding reference numbers to do or where necessary to print a sheet to make payment,You make online payments transfer would be a good option
222,IMSS164,IMSS-02-008,Sí,No,,que el trámite sea por via internet,2016-01-12,1,1,,that the process is by via internet
223,SRE144,SRE-03-007-A,Sí,Sí,la forma para pagar !! donde pago ? dice los montos pero no viene la forma ni donde debo pagar,poner el formato en los costos,2016-01-12,0,0,how to pay !! where do I pay ? says the amounts but does not come form or where I pay,put the format on costs
224,AFSEDF842,AFSEDF-01-014,Sí,Sí,Indicar fechas o proceso a seguir,Esquematización del contenido de la página para localizar rápidamente la información. Gracias!,2016-01-12,1,2,Indicate dates or process to follow,Outlining the content of the page to quickly locate information. Thank you!
225,SRE113,SRE-03-003,No,Sí,"No se puede sacar la cita vía Internet, lo que vuelve pésimo el trámite, ya que la línea 01800 no entre en forma inmediata y más aún, señalan que el trámite se puede hacer vía Internet, lo que es falso",que los trámites puedan ser vía electrónica para ser más expeditos,2016-01-12,1,1,"You can not make the appointment via the Internet, which makes the process very bad, because the line 01800 does not enter immediately and further point out that the procedure can be done via the Internet, which is false",that procedures can be electronically for speedier
227,SRE113,SRE-03-003,Sí,Sí,"No dicen la manera en que se paga. Ya fui a las oficinas, hice la cita vía telefónica, leí en la página y no encuentro esa información y nadie está dispuesto a proporcionarle. 
Solicitó esa información para pasar a pagar para mi cita.
correo electrónico: juanito_580@hotmail.com","En la sección que explica que debes llevar dos fotografías, dice que se deben de llevar copias fotostáticas en tamaño carta, pero no se sabe de qué. Estoy molesto con este servicio y más con el servicio del personal, a razón que la información no es proporcionada a tiempo y así puedo perder mi cita sólo por desinformación.",2016-01-12,0,0,"They do not say how you pay. And I went to the office, I made the appointment over the phone, I read on the page and can not find that information and no one is willing to provide.
He requested that information to pay for my move to date.
email: juanito_580@hotmail.com","In the section that explains that you must take two photographs, he said to be carrying photostat copies in letter size, but do not know what. I'm upset with this service and the service staff at the rate that information is not provided on time and so I lose my appointment only misinformation."
228,INM794,INM-03-002-E,Sí,Sí,"Todos los documentos deben incluir copia, al igual que se debe llevar original y copia del pasaporte del cónyuge.","Aclarar la información completa necesaria para no perder tiempo en el trámite en las oficinas, ya que el horario de atención es muy reducido",2016-01-12,0,1,All documents must include a copy to the like must bring original and copy of the passport of the spouse.,"Clarifying the complete information needed to save time in processing in offices, because the hours are very limited"
229,INM794,INM-03-002-E,Sí,Sí,"Todos los documentos deben incluir copia, al igual que se debe llevar original y copia del pasaporte del cónyuge.","Aclarar la información completa necesaria para no perder tiempo en el trámite en las oficinas, ya que el horario de atención es muy reducido",2016-01-12,0,1,All documents must include a copy to the like must bring original and copy of the passport of the spouse.,"Clarifying the complete information needed to save time in processing in offices, because the hours are very limited"
231,NAFIN486,NAFIN-05-003,No,Sí,cómo es el proceso,no deberian considera la búsqueda de un historial crediticio en el buro de credito,2016-01-13,1,0,how is the proccess,You should not consider finding a credit history on the credit bureau
233,SRE112,SRE-03-002,Sí,No,,El centro de atención 018008010773 debería tener la capacidad de cancelar o reprogramar citas,2016-01-13,1,2,,The focus 018008010773 should be able to cancel or reschedule appointments
