is_info_useful,missing_info,improvements,date,missing_info_es,improvements_es,missing_info_en,improvements_en,institution_name,institution_branch,institution_window
1,realizo cita recepcion documentos renovacion,poner apartado citas,2016-01-02,realizo cita recepcion documentos renovacion,poner apartado citas,make appointment receive documents renewal,put aside appointments,SRE,03,003
1,liga realizar citas internet,citio redundantey sirve encontrar liga citas misterio encontre pudo abrir problemas verificacion permisos proteccion informacion,2016-01-02,liga realizar citas internet,citio redundantey sirve encontrar liga citas misterio encontre pudo abrir problemas verificacion permisos proteccion informacion,league internet dating,however citio redundantey work find league dating mystery found could opened verification issues permits data protection,SRE,03,003
1,,verdadero problema encontrar acceso ingresar tramite encabezado deberia haber opcion diga ingresar cuenta realizar tramite hecho veces veces tardado bastante llegar opcion ahora mismo puedo tan complicado pasaportes debe decir registrarse entrar enojada,2016-01-03,,verdadero problema encontrar acceso ingresar tramite encabezado deberia haber opcion diga ingresar cuenta realizar tramite hecho veces veces tardado bastante llegar opcion ahora mismo puedo tan complicado pasaportes debe decir registrarse entrar enojada,,real problem finding access enter process header option says enter account process ive done times times ive taken enough reach option complicated passports must register enter words something nothing nothing im angry,SRE,03,002
0,contesten telephone mexitel,contestar telephono citas,2016-01-04,contesten telephone mexitel,contestar telephono citas,mexitel answer telephone,dating answer telephono,SRE,03,016
0,falta poder realizar consultar actualizacion cuenta linea horario ustedes tampoco trabajamos centro,poder consultar realizar tramites linea,2016-01-04,falta poder realizar consultar actualizacion cuenta linea horario ustedes tampoco trabajamos centro,poder consultar realizar tramites linea,failure perform refer update account status online times like work center,consult carry procedures online,FOVISSSTE,00,010
1,incluir hoja requisitos notas observacion pormenores mas frecuentes q implicados tales comoq acta resienterevisar q contemporaneay mas q empleados conocen d sobra,desentralizar expedicion visa pasaportey q usuario q perdido cita x cuestiones d requisitos darles prioridad proxima citay q cita tiempo mayor tres dias d espera momento q solicitaq operacion oficina d enlece cd d coatzacoalcos veracruz xfavor q habemos usuario q requerimos dl servicio,2016-01-04,incluir hoja requisitos notas observacion pormenores mas frecuentes q implicados tales comoq acta resienterevisar q contemporaneay mas q empleados conocen d sobra,desentralizar expedicion visa pasaportey q usuario q perdido cita x cuestiones d requisitos darles prioridad proxima citay q cita tiempo mayor tres dias d espera momento q solicitaq operacion oficina d enlece cd d coatzacoalcos veracruz xfavor q habemos usuario q requerimos dl servicio,include sheet requirements observation notes common details q involved q resents act check q contemporary employees already know q spare,desentralizar issuance visa pasaporteyq user q missed appointment x issues give priority requirements next appointment yq appointment time three days waiting time requested q q operation office enlece cd coatzacoalcos xfavor veracruz many user habemos q q dl require service,SRE,03,015
0,liga generar pago derechos nunca aparece asi liga realizar solicitud linea,anterior pagina clara requisitos solicitudes seguimiento pago derechos funcial encuentra ahora,2016-01-04,liga generar pago derechos nunca aparece asi liga realizar solicitud linea,anterior pagina clara requisitos solicitudes seguimiento pago derechos funcial encuentra ahora,league generate royalty payments never appears league make request online,previous page clear requirements applications monitoring payment fees funcial,INM,03,009
1,acuse recepcion tramitarlo,ah sido dificil mandar declaraciones nueve interfaz,2016-01-04,acuse recepcion tramitarlo,ah sido dificil mandar declaraciones nueve interfaz,acknowledgment process,ah difficult send statements nine interface,SAT,01,035
0,rayos agendo cita internet unicamente via telefonica entonces sirve pagina internet ineficiente pagina contiene informacion irrelevante inicio estructura importante ciudadano comun encuentra,si existe pagina internet pueden agendar citas internet necesidad realizar llamada menu principal deberia ser mas practico mencionar estructura secretaria irrelevante ciudadano busca unicamente servicios debe otorgar secretaria servidores publicos finalmente van ayudar ciudadano comun,2016-01-04,rayos agendo cita internet unicamente via telefonica entonces sirve pagina internet ineficiente pagina contiene informacion irrelevante inicio estructura importante ciudadano comun encuentra,si existe pagina internet pueden agendar citas internet necesidad realizar llamada menu principal deberia ser mas practico mencionar estructura secretaria irrelevante ciudadano busca unicamente servicios debe otorgar secretaria servidores publicos finalmente van ayudar ciudadano comun,hell agendo appointment online phone good website inefficient page contains irrelevant information beginning structure important thing ordinary citizen,website schedule appointments online without make call main menu practical mentioning structure secretariat irrelevant citizen seeks services give secretary public servants ultimately going help common citizen,SRE,03,002
0,informacion pagos extras nesesita exactamente,ser mas prudentes hayudar cliente nesesario tratarlo inepto estan pidiendo favor,2016-01-04,informacion pagos extras nesesita exactamente,ser mas prudentes hayudar cliente nesesario tratarlo inepto estan pidiendo favor,information extra payments exactly nesesita,prudent hayudar client nesesario treat inept asking favor,SRE,03,003
1,,oficinas dieran prioridad tramite nios esperar veces mas horas hacen desesperen gracias,2016-01-04,,oficinas dieran prioridad tramite nios esperar veces mas horas hacen desesperen gracias,,offices give priority process children wait sometimes hours make despair thank,SRE,03,006
1,,pueda hacer citaen linea com caso si pueda entonces mejoren manera navega traves pagina entiende,2016-01-04,,pueda hacer citaen linea com caso si pueda entonces mejoren manera navega traves pagina entiende,,make online com citaen event improve way navigate site understand anything,SRE,03,003
1,,semana tratando hacer cita grabacion acepta numero menu ningun numero sigue grabadora hablando nececito cita quiero hacer cita internet funciona hablo oficina enlace apodaca contestan hablo oficina monterrey dicen debo hablar mencione cita hago cita sino funciona,2016-01-04,,semana tratando hacer cita grabacion acepta numero menu ningun numero sigue grabadora hablando nececito cita quiero hacer cita internet funciona hablo oficina enlace apodaca contestan hablo oficina monterrey dicen debo hablar mencione cita hago cita sino funciona,,week trying make appointment recording accept number menu number follow talking recorder nececito appointment want make appointment online work speak liaison office apodaca answer speak monterrey office tell must speak mentions appointment sino cita funciona,SRE,03,003
0,estan documentos pago derechos formato realizar tramite migratorio,poner toda informacion corresponde tramite excasa,2016-01-05,estan documentos pago derechos formato realizar tramite migratorio,poner toda informacion corresponde tramite excasa,documents payment fees format migration process,put information corresponding process excasa,INM,03,010
1,especificar papeleo q requiere tramite,tramite asi podra realizar tramite mas rapido q q viajar largas distancias,2016-01-05,especificar papeleo q requiere tramite,tramite asi podra realizar tramite mas rapido q q viajar largas distancias,q specify required paperwork processing,pending states may make process faster q q travel long distances,INM,03,008
0,deben poner listado direcciones telefonos,ahora bien si contaba curp correcto ahora existe error pasar datos nacio foraneo conseguir acta nacimiento original puede corregir errores autoridad,2016-01-05,deben poner listado direcciones telefonos,ahora bien si contaba curp correcto ahora existe error pasar datos nacio foraneo conseguir acta nacimiento original puede corregir errores autoridad,make list addresses phones,already right curp exist error spending data one born foraneo get original birth certificate one correct errors authority,SEGOB,05,005
1,oficinas republica mexicana,oficinas republica mexicana,2016-01-05,oficinas republica mexicana,oficinas republica mexicana,offices states mexican republic,offices states mexican republic,SFP,04,001
1,,actualizaron pagina aparece seguimiento tramite hora tratando ver proceso tramite mas mes espera,2016-01-05,,actualizaron pagina aparece seguimiento tramite hora tratando ver proceso tramite mas mes espera,,updated page follow procedure appears hour trying see status application nothing month waiting,SRE,01,033
1,ayer cita aceptaron pago llevaba pasaporte deberian poner ejemplo hacen pagos internet saludos,motivos rechazo,2016-01-05,ayer cita aceptaron pago llevaba pasaporte deberian poner ejemplo hacen pagos internet saludos,motivos rechazo,yesterday went appointment accept wearing payment passport set example something payments made online cheers,reasons rejection,SRE,03,015
1,utilizar lenguaje mas fluido tan formal ejemplo objetivos requisitos requiere proyecto evaluacion explicaran mas detalle mas simplificado resumido,objetivos requisitos requiere proyecto evaluacion explicaran mas detalle mas simplificado resumido,2016-01-06,utilizar lenguaje mas fluido tan formal ejemplo objetivos requisitos requiere proyecto evaluacion explicaran mas detalle mas simplificado resumido,objetivos requisitos requiere proyecto evaluacion explicaran mas detalle mas simplificado resumido,use fluid language formal example objectives requirements required project evaluation explain detail simplified summarized,objectives requirements required project evaluation explain detail simplified summarized,SEDESOL,10,032
0,agendan citas fatal interfase,derivar sola pestaa rayos agendan citas via internet,2016-01-06,agendan citas fatal interfase,derivar sola pestaa rayos agendan citas via internet,appointments scheduled fatal interface,much lead single ray tab appointments scheduled via internet,SRE,03,007
0,indique bajar formato pago institucion bancaria realizarlo formato pagina secretaria relaciones exteriores confusa lejos simplificar tramites encontrar informacion confunden mas,hacer pagina mas sencilla tan complicada imposible acceder directorio funcionarios datos contactarlos simplificacion transparencia estudiante bachillerato puede hacer mejor pagina,2016-01-06,indique bajar formato pago institucion bancaria realizarlo formato pagina secretaria relaciones exteriores confusa lejos simplificar tramites encontrar informacion confunden mas,hacer pagina mas sencilla tan complicada imposible acceder directorio funcionarios datos contactarlos simplificacion transparencia estudiante bachillerato puede hacer mejor pagina,indicate lower payment format bank format website ministry foreign affairs confusing far simplifying procedures find information confuse,make simple complicated page impossible access directory officials data contact simplification transparency high school student better make page,SRE,03,002
1,numeros cuenta realiza deposito instituciones bancarias puede realizar pago,mas informacion,2016-01-07,numeros cuenta realiza deposito instituciones bancarias puede realizar pago,mas informacion,account numbers deposit banking institutions make payment made,information,SRE,03,002
1,creo pagina necesita poner formato pago derechoses ahora puedo encontrarloespecialmente persona entiende espaolcomo,website viejo mejor nuevoel nuevo demasiado complicado,2016-01-07,creo pagina necesita poner formato pago derechoses ahora puedo encontrarloespecialmente persona entiende espaolcomo,website viejo mejor nuevoel nuevo demasiado complicado,think page need put format payment fees encontrarloespecialmente person understand much spanish like,old website better new new one complicated,INM,03,009
0,hacer pago enlace forma pago lugares puede pagar,agregando datos enlace imprimir formato pago derechos productos aprovechamiento,2016-01-07,hacer pago enlace forma pago lugares puede pagar,agregando datos enlace imprimir formato pago derechos productos aprovechamiento,making payment link payment places pay,adding data link print payment format products exploitation rights,SRE,03,003
1,ubica formato cd,suban faciliten ubicacion formatos,2016-01-07,ubica formato cd,suban faciliten ubicacion formatos,locate cd format,suban facilitate location formats,STPS,04,003
0,ligas oficinas enlace funcionan informacion resulta confusa mucha gente,informacion concisa tantos saltos link ( todas maneras funcionan correctamente posiblemente chat linea pudiera ser mucha ayuda ayudar,2016-01-07,ligas oficinas enlace funcionan informacion resulta confusa mucha gente,informacion concisa tantos saltos link ( todas maneras funcionan correctamente posiblemente chat linea pudiera ser mucha ayuda ayudar,leagues liaison offices work information somewhat confusing many people,information concise without many jumps one link another ( anyway work correctly possibly online chat could helpful help,SRE,03,002
0,enfocarse poder programar cita medio web,mejorar programa poder agendar citas web,2016-01-07,enfocarse poder programar cita medio web,mejorar programa poder agendar citas web,focus appointment setting power web,order improve program web schedule appointments,SRE,03,002
0,estatus tramite,paguina web,2016-01-07,estatus tramite,paguina web,status tramite,paguina web,SFP,04,001
0,proporcionar nuevo formato dc version editable,aclarar puede presentar electronico fisico,2016-01-07,proporcionar nuevo formato dc version editable,aclarar puede presentar electronico fisico,providing new dc format editable version,clarify electronic physical,STPS,04,002
0,requisitos tramitar pasaporte internet anuncio mes septiembre,pueda renovar pasaporte internet sre anuncio mes septiembre disponibilidad hacer citas meses enero febrero verdadera problematica requerimos renovacion,2016-01-07,requisitos tramitar pasaporte internet anuncio mes septiembre,pueda renovar pasaporte internet sre anuncio mes septiembre disponibilidad hacer citas meses enero febrero verdadera problematica requerimos renovacion,requirements online processing passport announced september,renew passport online sre announced september since availability appointments months january february problematic true require renewal,SRE,03,002
0,pasos hacer cita encuentro manera hacerla internet paginas piden pago poder hacer cita hacer pago piden cita osea hacer citapaso paso,entiendo quieren agilizar tramite podrian hacer simple sido mas sencillo hacer cita visa pasaporte,2016-01-07,pasos hacer cita encuentro manera hacerla internet paginas piden pago poder hacer cita hacer pago piden cita osea hacer citapaso paso,entiendo quieren agilizar tramite podrian hacer simple sido mas sencillo hacer cita visa pasaporte,steps make appointment find way make internet pages ask payment make appointment make payment ask bone appointment make appointment step step,understand want speed process could something simple easier make appointment visa passport,SRE,03,003
0,cede tramite vivimos delegacion venustiano carranza,clarar mejor realiza tramite tiempo lleva solo menciona documentacion costos dice realmente proceso,2016-01-07,cede tramite vivimos delegacion venustiano carranza,clarar mejor realiza tramite tiempo lleva solo menciona documentacion costos dice realmente proceso,yields procedure live delegation venustiano carranza,clarar better procedure done long takes documentation costs mentioned says nothing really process,SRE,03,002
1,informan puede realizarse cita via internet veo ningun enlace realizar tramite,favor colocar enlace solicitar cita realizar pago pasaporte,2016-01-07,informan puede realizarse cita via internet veo ningun enlace realizar tramite,favor colocar enlace solicitar cita realizar pago pasaporte,informed appointment via internet done see link perform procedure,please place link request appointment pay passport,SRE,03,002
0,pinche enlace sacar cita,pinche enlace sacar cita,2016-01-08,pinche enlace sacar cita,pinche enlace sacar cita,click link get quote,click link get quote,SRE,03,002
1,,hacer posible realizar pagos linea evitar colas banco,2016-01-08,,hacer posible realizar pagos linea evitar colas banco,,make possible make payments online avoid queues bank,INM,03,009
1,,citas internet opcion elegir horario,2016-01-08,,citas internet opcion elegir horario,,appointments internet option choose time,SRE,03,007
1,dice consulta realizar preinscripcion educacion basica colocar link lleva consulta sugerida,necesitan area aseguramiento calidad puedo ayudarles celular ofrezco servicios profesionales,2016-01-08,dice consulta realizar preinscripcion educacion basica colocar link lleva consulta sugerida,necesitan area aseguramiento calidad puedo ayudarles celular ofrezco servicios profesionales,dice consultation preregistration performing basic education put link takes see suggested,need area quality assurance help phone professional services offering,AFSEDF,01,014
0,,avion nuevo pea pueden mejorar sitio internet hacer citas linea,2016-01-08,,avion nuevo pea pueden mejorar sitio internet hacer citas linea,,however new aircraft pea improve website online dating,SRE,03,002
1,,gobierno tan complejo controversial actualmente vivimos importante alzar voz si necesario denunciar sealar malos funcionarios tambien festejar instituciones estan haciendo bien cosas tramite pasaporte actualmente agil rapido burocratico buena atencion asistentes pasado domingo enero asisti tramitar pasaporte oficinas cuajimalpa personal oficinas detallan informacion necesaria mas menos suficiente clara dentro oficinas habia mujer evidentemente llevaba documentacion incompleta empezo tener actitud bastante prepotente personal daba turnos exigia pesar llevaba documentacion mal mujer acerco dictaminador empezo gritar groserias avento documentos conducta actitud mujer tan explosiva dentro oficina dimos cuenta dictaminador decia unicamente escuchaba seora respetuosamente observaba sugerencia deberia existir personal seguridad dentro oficinas personal ventanillas tampoco entrega turnos merecen seoras conductas tan nefastas groseras pueden poner peligro integridad personal seguramente mujer muchas seria indicado cuanto exista conducta similar cualquier asistente oficinas evacuado inmediatamente,2016-01-09,,gobierno tan complejo controversial actualmente vivimos importante alzar voz si necesario denunciar sealar malos funcionarios tambien festejar instituciones estan haciendo bien cosas tramite pasaporte actualmente agil rapido burocratico buena atencion asistentes pasado domingo enero asisti tramitar pasaporte oficinas cuajimalpa personal oficinas detallan informacion necesaria mas menos suficiente clara dentro oficinas habia mujer evidentemente llevaba documentacion incompleta empezo tener actitud bastante prepotente personal daba turnos exigia pesar llevaba documentacion mal mujer acerco dictaminador empezo gritar groserias avento documentos conducta actitud mujer tan explosiva dentro oficina dimos cuenta dictaminador decia unicamente escuchaba seora respetuosamente observaba sugerencia deberia existir personal seguridad dentro oficinas personal ventanillas tampoco entrega turnos merecen seoras conductas tan nefastas groseras pueden poner peligro integridad personal seguramente mujer muchas seria indicado cuanto exista conducta similar cualquier asistente oficinas evacuado inmediatamente,,government complex controversial live important speak necessary report point bad officers must also celebrate institutions things right processing passport currently agile quick unbureaucratic good attention attendees sunday january process passport attended offices cuajimalpa staff offices detailing less sufficient clear information within offices woman evidently carried incomplete documentation began arrogant attitude staff gave shifts demanded despite carrying wrong documentation woman approached decider began yell obscenities threw documents behavior attitude women explosive everyone office realized decider said nothing listened respectfully lady watched suggestion security personnel inside offices staff windows handing shifts deserve ladies like dire rude behavior endanger integrity staff surely like woman many would suitable similar conduct office assistant evacuated immediately,SFP,04,001
0,den datos solicitan perdida tiempo tramitar cosas oficinas lentos atienden pesimo,,2016-01-09,den datos solicitan perdida tiempo tramitar cosas oficinas lentos atienden pesimo,,give information requested waste time process things offices slow serve lousy,everything,SFP,04,001
1,,podrian empezar tener activa linea telefonica link internet agendar citas eh intentado hacerlo ambas formas ninguna dos funcionando atencion gracias,2016-01-09,,podrian empezar tener activa linea telefonica link internet agendar citas eh intentado hacerlo ambas formas ninguna dos funcionando atencion gracias,,could start activated phone line internet link schedule appointments eh tried ways neither working attention thanks,SRE,03,002
0,hace cita claro formato,informacion alargada inconsistencias documentos deben presentar informacion complementaria,2016-01-10,hace cita claro formato,informacion alargada inconsistencias documentos deben presentar informacion complementaria,appointment made clear format,information long inconsistencies among documents submitted particularly supplementary information,SRE,03,003
0,caso renovacion hace falta poner si ocupan fotos tambien hace falta formato pagar considero nuev actualizacion pagina hace mas complicado tramite puesto forma mas facil entender mano mas rapido quedaba claro ademas puede acceder opcion citas internet,completar pasos debemos seguir siento informacion medias ademas cambiar formato pagina entiende,2016-01-11,caso renovacion hace falta poner si ocupan fotos tambien hace falta formato pagar considero nuev actualizacion pagina hace mas complicado tramite puesto forma mas facil entender mano mas rapido quedaba claro ademas puede acceder opcion citas internet,completar pasos debemos seguir siento informacion medias ademas cambiar formato pagina entiende,revalidated need put photos concerned also need format pay consider new york new york page update makes complicated processed since form much easier understand everything hand faster everything clear also access internet dating option,complete steps must follow feel information also mean changing format page understood,SRE,03,003
1,,formato basico puede llenar,2016-01-11,,formato basico puede llenar,,basic format fill,INM,03,009
1,lugares cuentas referencias realizar respectivos pagos,propongo seccion anterior,2016-01-11,lugares cuentas referencias realizar respectivos pagos,propongo seccion anterior,locations accounts references respective payments,propose previous section,SRE,03,003
1,,hora cargar datos domicilio municipio colonia pagina boquea falla sistema volver cargar datos tardado intentarlo varias veces caso abri exploradores google chrome mozilla firefox internet explorer mismo error,2016-01-11,,hora cargar datos domicilio municipio colonia pagina boquea falla sistema volver cargar datos tardado intentarlo varias veces caso abri exploradores google chrome mozilla firefox internet explorer mismo error,,data charging address municipality colony page gasps failure system return load data time consuming try several times case abri explorers google chrome firefox mozilla internet explorer error,CFE,00,004
1,quiero cambiarme consultorio dada alta municipio puedo ir directo nvo consultorio podrian hacerlo mas facil via internet asi horario corrido fascilitarian tramites,tramite cambio consultorios via internet aparezca pantalla asignado nss,2016-01-11,quiero cambiarme consultorio dada alta municipio puedo ir directo nvo consultorio podrian hacerlo mas facil via internet asi horario corrido fascilitarian tramites,tramite cambio consultorios via internet aparezca pantalla asignado nss,want change office discharged another town go straight nvo office could make easier via internet straight time fascilitarian procedures,process changing offices via internet screen appear already assigned nss,IMSS,02,008
0,general porqueria pagina altura paginas informacion pesimamente clasificada informacion encimada telefonos mal separados si etcetc,,2016-01-11,general porqueria pagina altura paginas informacion pesimamente clasificada informacion encimada telefonos mal separados si etcetc,,general sucks page pages information badly classified encimada information wrong phones apart etcetc,everything,SFP,04,001
1,dicen manera paga oficinas hice cita via telefonica lei pagina encuentro informacion nadie dispuesto proporcionarla solicito informacion pasar pagar cita correo electronico juanitohotmailcom,seccion explica debes llevar dos fotografias dice deben llevar copias fotostaticas tamao carta sabe molesto servicio mas servicio personal razon informacion proporcionada tiempo asi puedo perder cita solo desinformacion,2016-01-12,dicen manera paga oficinas hice cita via telefonica lei pagina encuentro informacion nadie dispuesto proporcionarla solicito informacion pasar pagar cita correo electronico juanitohotmailcom,seccion explica debes llevar dos fotografias dice deben llevar copias fotostaticas tamao carta sabe molesto servicio mas servicio personal razon informacion proporcionada tiempo asi puedo perder cita solo desinformacion,say pay went office made appointment phone read page find information one willing provide request information pass appointment pay email juanitohotmailcom,section explains must take two photographs said carrying photostat copies letter size know im upset service service staff rate information provided time lose appointment misinformation,SRE,03,003
0,puede sacar cita via internet vuelve pesimo tramite linea forma inmediata mas aun sealan tramite puede hacer via internet falso,tramites puedan ser via electronica ser mas expeditos,2016-01-12,puede sacar cita via internet vuelve pesimo tramite linea forma inmediata mas aun sealan tramite puede hacer via internet falso,tramites puedan ser via electronica ser mas expeditos,make appointment via internet makes process bad line come immediate even say procedure done via internet false,procedures electronically speedier,SRE,03,003
1,documentos deben incluir copia igual q debe llevar original copia pasaporte conyuge,aclarar informacion completa necesaria perder tiempo tramite oficinas horario atencion reducido,2016-01-12,documentos deben incluir copia igual q debe llevar original copia pasaporte conyuge,aclarar informacion completa necesaria perder tiempo tramite oficinas horario atencion reducido,documents must include copy q bring original copy passport spouse,clarify full information necessary avoid wasting time processed offices hours limited,INM,03,002
1,indicar fechas proceso seguir,esquematizacion contenido pagina localizar rapidamente informacion gracias,2016-01-12,indicar fechas proceso seguir,esquematizacion contenido pagina localizar rapidamente informacion gracias,indicate dates process follow,outlining content page quickly locate information thank,AFSEDF,01,014
1,forma pagar pago dice montos viene forma debo pagar,poner formato costos,2016-01-12,forma pagar pago dice montos viene forma debo pagar,poner formato costos,pay pay says amounts come form pay,put format costs,SRE,03,007
1,,tramite via internet,2016-01-12,,tramite via internet,,process via internet,IMSS,02,008
1,puede realizar pago correspondiente ende numeros referencia hacerlo caso poder imprimir hoja poder hacer pago,hacer pagos linea transferencia seria buena opcion,2016-01-12,puede realizar pago correspondiente ende numeros referencia hacerlo caso poder imprimir hoja poder hacer pago,hacer pagos linea transferencia seria buena opcion,pay therefore corresponding reference numbers necessary print sheet make payment,make online payments transfer would good option,SEDENA,01,009
0,,serios tipo tramites burocratas tercer mundo mas dos meses resuelto tramite cedula,2016-01-12,,serios tipo tramites burocratas tercer mundo mas dos meses resuelto tramite cedula,,serious proceedings bureaucrats third world two months resolved tramite cedula,SEP,01,031
0,proceso,deberian considera busqueda historial crediticio buro credito,2016-01-13,proceso,deberian considera busqueda historial crediticio buro credito,proccess,consider search credit history credit bureau,NAFIN,05,003
1,,centro atencion deberia tener capacidad cancelar reprogramar citas,2016-01-13,,centro atencion deberia tener capacidad cancelar reprogramar citas,,focus able cancel reschedule appointments,SRE,03,002
0,pesima pagina encuentra facilmente informacion encuentra vinculo hacer presolicitudes mejor anterior parece mas propaganda cosamegafail,ammmmtodoooo,2016-01-13,pesima pagina encuentra facilmente informacion encuentra vinculo hacer presolicitudes mejor anterior parece mas propaganda cosamegafail,ammmmtodoooo,gloomy page easily find information making link preapplication maybe previous one seems propaganda anything else megafail,ammmm todoooo,INM,03,003
1,reimprimir citas pasaporte asimismo realizar citas via internet asi cancelar citas reprogramarlas delegacion u oficina enlace,liberar formatos op op demas formatos eficientar darle rapidez tramites,2016-01-13,reimprimir citas pasaporte asimismo realizar citas via internet asi cancelar citas reprogramarlas delegacion u oficina enlace,liberar formatos op op demas formatos eficientar darle rapidez tramites,reprinting passport appointments also make appointments via internet cancel appointments reschedule another delegation liaison office,release formats op op formats efficient give quickly transact,SRE,03,002
1,requisitos especificos forma lista asi saber si necesitan copias documentos llevar,necesario especifiquen requisitos telefono dan informacion diferente,2016-01-14,requisitos especificos forma lista asi saber si necesitan copias documentos llevar,necesario especifiquen requisitos telefono dan informacion diferente,specific requirements list see need copies documents carried,necessary specify requirements phone give different information,SRE,03,003
0,super facil ahora parece hacen favor tramitar pasaporte podias sacar citas internet ahora solo llamando nunca contestan,facilitar tramite simplemente imposible sacar cita,2016-01-14,super facil ahora parece hacen favor tramitar pasaporte podias sacar citas internet ahora solo llamando nunca contestan,facilitar tramite simplemente imposible sacar cita,everything super easy seems favor process passport podias dating online take calling never answer,facilitate procedure simply impossible make appointment,SRE,01,020
0,hoja ayuda pagos supervision importacion mercancias pirotecnia quimicos sencillo ahora encuentro pesos,obtencion hoja ayuda mencionada,2016-01-14,hoja ayuda pagos supervision importacion mercancias pirotecnia quimicos sencillo ahora encuentro pesos,obtencion hoja ayuda mencionada,sheet support monitoring payments import goods pyrotechnics chemicals simple find pesos,obtaining aid referred sheet,SFP,04,001
1,,cuello botella captura datos ilogico recibe informacion documentos ventanillas solo toma foto huellas captura iris firma mas tardado gente parada orden personas estan ventanilla hablan bajo escucha llaman parte gente hablando creo citas sirva creo haber recibido trato mas rapido,2016-01-15,,cuello botella captura datos ilogico recibe informacion documentos ventanillas solo toma foto huellas captura iris firma mas tardado gente parada orden personas estan ventanilla hablan bajo escucha llaman parte gente hablando creo citas sirva creo haber recibido trato mas rapido,,bottleneck data capture even illogical information documents wickets received photo fingerprints iris signature capture taken time consuming people without stop order people counter speak low listen call part people talking think appointments serve lot created receiving treatment faster,SFP,04,001
0,ve status tramite realice tramite deenero va luis armando carranza camarena,colcandoun modulo consulta tramite,2016-01-15,ve status tramite realice tramite deenero va luis armando carranza camarena,colcandoun modulo consulta tramite,status seen processed perform deenero processed luis armando carranza camarena,colcandoun query processing module,SE,09,041
1,,buenas tardes creo seccion requisitos punto ( caso cambio domicilio comprobante domicilio cuya fecha expedicion exceda treinta dias naturales deberia especificar comprobante domicilio nombre empleador saludos,2016-01-15,,buenas tardes creo seccion requisitos punto ( caso cambio domicilio comprobante domicilio cuya fecha expedicion exceda treinta dias naturales deberia especificar comprobante domicilio nombre empleador saludos,,good afternoon think requirements section section ( case change address proof address whose date issuance exceed thirty calendar days specify proof address behalf employer cheers,INM,03,005
