Encuesta,Ficha,Homoclave,1.1 ¿Te parece útil esta información?,1.2 ¿Consideras que falta información?,1.3 ¿Qué información crees que falta?,1.4 ¿Qué podemos mejorar?,Fecha
131,SRE117,SRE-03-006-A,Sí,No,,"Que en las oficinas dieran prioridad al tramite para los niños, ya que el esperar a veces mas de 3 horas hacen que ellos se desesperen.
Gracias.",2016-01-04
133,SRE113,SRE-03-003,No,Sí,informacion sobre pagos extras y que se nesesita exactamente,ser mas prudentes y hayudar al cliente como es nesesario no tratarlo como a un inepto o que les estan pidiendo un favor,2016-01-04
135,SRE113,SRE-03-003,Sí,No,,"tengo una semana tratando de hacer cita al 01-800 8010773 y la grabacion no me acepta el numero 1 en el menu , ni ningun numero, sigue la grabadora hablando y yo nececito una cita. Quiero hacer la cita por internet y no funciona . Hablo a la oficina de enlace en apodaca y no contestan. Hablo a la oficina de monterrey y me dicen que debo Hablar al 01800 que mencione para la cita. Y COMO HAGO CITA SINO FUNCIONA¡¡¡",2016-01-04
139,SAT766,SAT-01-035,Sí,Sí,"Acuse de recepción, donde tramitarlo",ah sido difícil mandar las declaraciones con la nueve interfaz,2016-01-04
140,INM820,INM-03-009-D,No,Sí,"la liga para generar el pago de derechos nunca aparece, así como la liga para realizar la solicitud en linea.","La anterior página estaba muy clara, los requisitos, solicitudes, seguimiento y pago de derechos, no es funcial como se encuentra ahora.",2016-01-04
142,SRE159,SRE-03-015,Sí,Sí,Incluir en la hoja de requisitos. Como notas de observacion los pormenores mas frecuentes en q nos hayamos implicados tales como:q la acta sea resiente;revisar q no sea contemporanea;y algunos mas q sus empleados ya conocen d sobra...,Desentralizar la expedicion de visa y pasaporte.y q al usuario q haya perdido una cita x cuestiones d requisitos darles prioridad en su proxima cita...y q una cita no tenga un tiempo mayor a tres dias d espera del momento q se solicita....q entre en operacion la oficina d enlece de la cd. d coatzacoalcos veracruz xfavor ya q habemos muchos usuario q requerimos dl servicio...,2016-01-04
144,ISSSTE628,FOVISSSTE-00-010-C,No,Sí,"Falta poder realizar o consultar la actualización del estado de cuenta en línea, no todos tenemos horario como el de ustedes ni tampoco trabajamos en el centro.",Poder consultar o realizar trámites en línea,2016-01-04
146,SRE160,SRE-03-016,No,Sí,contesten el telephone mexitel,contestar el telephono para citas,2016-01-04
148,INM278,INM-03-008,Sí,Sí,especificar el papeleo q se requiere para el tramite,el tramite en otros estados asi se podra realizar el tramite mas rapido ya q hay q viajar largas distancias,2016-01-05
153,SEGOB171,SEGOB-05-005,No,Sí,deben poner un listado con direcciones y telefonos,"Ahora bien si ya se contaba con un CURP correcto porque ahora no existe? fue error al pasar datos, uno nació foraneo y tiene que conseguir acta de nacimiento original?
uno no puede corregir los errores de la autoridad",2016-01-05
154,SFP54,SFP-04-001,Sí,Sí,Que hay oficinas en todos los estados de la republica mexicana,Que hay oficinas en todos los estados de la republica mexicana,2016-01-05
157,SRE260,SRE-01-033,Sí,No,,Actualizaron la página y no aparece el seguimiento de trámite tengo 1 hora tratando de ver el proceso de mi trámite y nada tengo mas de un mes en espera,2016-01-05
160,SRE159,SRE-03-015,Sí,Sí,"Ayer fui a mi cita y no me aceptaron el pago que llevaba del pasaporte, deberían poner un ejemplo o algo para cuando se hacen los pagos por internet.
Saludos",Sus motivos por rechazo.,2016-01-05
162,INM823,INM-03-010-B,No,Sí,No están los documentos para el pago de derechos y el formato para realizar el trámite migratorio.,Poner toda la información que corresponde al trámite. Está muy excasa.,2016-01-05
163,SRE112,SRE-03-002,No,Sí,"Que se indique dónde y cómo bajar el formato de pago y en qué institución bancaria realizarlo.

El formato de la página de la Secretaría de Relaciones Exteriores está muy confusa.

Lejos de simplificar los trámites o de encontrar información lo confunden más.","Hacer la página más sencilla y no tan complicada.

Es imposible acceder al directorio de funcionarios y los datos para contactarlos.

Cuál simplificación?

Cuál transparencia?

Un estudiante de bachillerato puede hacer mejor una página.",2016-01-06
169,SEDESOL665,SEDESOL-10-032-D,Sí,Sí,"Utilizar un lenguaje más fluido y no tan ""formal""
Por ejemplo: 
Los objetivos, o requisitos que requiere el proyecto para su evaluación, que explicaran más a detalle pero más simplificado y resumido.","Los objetivos, o requisitos que requiere el proyecto para su evaluación, que explicaran más a detalle pero más simplificado y resumido.",2016-01-06
172,SRE147,SRE-03-007-D,No,Sí,¿dónde se agendan las citas? fatal interfase.,"En mucho, derivar en una sola pestaña dónde rayos se agendan las citas vía internet.",2016-01-06
176,SRE112,SRE-03-002,Sí,Sí,los numeros de cuenta al que se realiza el deposito y las instituciones bancarias en las que se puede realizar el pago.,mas información,2016-01-07
179,INM821,INM-03-009-E,Sí,Sí,"creo que en esta pagina necesita poner el formato de pago de derechos,es que ahora no puedo encontrarlo.especialmente para la persona que no entiende tanto español,como yo.","el website viejo es mejor que lo que nuevo,el nuevo es demasiado complicado",2016-01-07
180,SRE113,SRE-03-003,No,Sí,"Cómo hacer el pago, enlace para la forma de pago y lugares donde se puede pagar",Agregando datos y el enlace para imprimir el formato de pago de derechos productos y aprovechamiento,2016-01-07
181,STPS585,STPS-04-003,Sí,Sí,No se ubica el formato CD-5,Suban y/o faciliten la ubicacion de los formatos.,2016-01-07
185,SRE112,SRE-03-002,No,Sí,Las ligas de las oficinas de enlace no funcionan y la información resulta algo confusa para mucha gente,"que la información sea muy concisa, sin tantos saltos de un link a otro (que de todas maneras no funcionan correctamente) y posiblemente un chat en linea pudiera ser de mucha ayuda para ayudar",2016-01-07
186,SRE112,SRE-03-002,No,Sí,ENFOCARSE EN PODER PROGRAMAR LA CITA POR MEDIO DE LA WEB,MEJORAR EL PROGRAMA PARA PODER AGENDAR CITAS POR LA WEB,2016-01-07
187,SFP54,SFP-04-001,No,Sí,ESTATUS DE TRAMITE,la PAGUINA WEB,2016-01-07
192,STPS582,STPS-04-002,No,Sí,proporcionar el nuevo formato DC-4 en versión editable,aclarar cuando se puede presentar en electrónico o físico,2016-01-07
193,SRE112,SRE-03-002,No,Sí,Los requisitos para tramitar el pasaporte por internet como se anunció en el mes de septiembre del 2015,"Que se pueda renovar el pasaporte por internet como la SRE lo anunció en el mes de septiembre del 2015. Ya que no hay disponibilidad para hacer citas para los meses de enero y febrero del 2016,lo cual es una verdadera problemática para los que requerimos renovación.",2016-01-07
194,SRE113,SRE-03-003,No,Sí,los pasos para hacer una cita no encuentro la manera de hacerla en internet  hay paginas donde piden un pago para poder hacer una cita y para hacer el pago me piden la cita osea que como??????????????? como hacer una cita?paso a paso,entiendo que quieren agilizar el tramite pero no podrian hacer algo simple para mi ha sido mas sencillo hacer una cita para una visa que para un pasaporte,2016-01-07
195,SRE112,SRE-03-002,No,Sí,La cede de trámite para los que vivimos en la delegación Venustiano Carranza,"Clarar mejor donde se realiza el trámite y qué tiempo lleva éste. Sólo se menciona documentación y costos, pero no dice nada realmente del proceso.",2016-01-07
196,SRE112,SRE-03-002,Sí,Sí,"Me informan que puede realizarse la cita via internet, pero no veo ningun enlace para realizar el trámite.",Favor de colocar el enlace para solicitar la cita y realizar el pago del pasaporte,2016-01-07
197,SRE112,SRE-03-002,No,No,,"Todo, como tienen para avión nuevo de Peña pero no pueden mejorar este sitio de internet para hacer las citas en  línea",2016-01-08
200,AFSEDF842,AFSEDF-01-014,Sí,Sí,"DICE:  ¡Consulta como realizar la pre-inscripción a la educación básica!

¿Y POR QUÉ NO COLOCAR EL LINK QUE TE LLEVA A ESA CONSULTA SUGERIDA ?","NECESITAN UN ÁREA DE ASEGURAMIENTO DE LA CALIDAD, YO PUEDO AYUDARLES A ESO ... ESTE MI CELULAR 55-2532-5086. OFREZCO MIS SERVICIOS PROFESIONALES.",2016-01-08
201,SRE112,SRE-03-002,No,Sí,el pinche enlace para sacar la cita,el pinche enlace para sacar la cita,2016-01-08
203,SRE147,SRE-03-007-D,Sí,No,,Que las citas sean por Internet con opción a elegir horario.,2016-01-08
204,INM811,INM-03-009-A,Sí,No,,"Hacer posible realizar pagos en línea, para evitar colas en el banco.",2016-01-08
205,SFP54,SFP-04-001,Sí,No,,"En un gobierno tan complejo y controversial como en el que actualmente vivimos, es importante alzar la voz, y si es necesario denunciar y señalar a los malos funcionarios; pero también hay que festejar a las instituciones que están haciendo bien las cosas, y el tramite del pasaporte actualmente es ágil, rápido, nada burocrático y con muy buena atención a los asistentes. El pasado domingo 3 enero asistí a tramitar mi pasaporte en las oficinas de Cuajimalpa, el personal en las oficinas te detallan la información necesaria, no más, no menos, la suficiente y clara. Dentro de las oficinas había mujer que evidentemente llevaba su documentación incompleta, empezó a tener una actitud bastante prepotente al personal que daba los turnos y exigía el suyo, a pesar de que llevaba la documentación mal. La mujer se acercó a un dictaminador le empezó a gritar groserías y le aventó unos documentos, la conducta y actitud de la mujer fue tan explosiva que todos dentro de la oficina nos dimos cuenta. El dictaminador no decía nada, únicamente escuchaba a la señora y respetuosamente la observaba. Mi sugerencia es que debería existir personal de seguridad dentro de las oficinas, porque el personal de las ventanillas, ni tampoco el que entrega los turnos, merecen que señoras como esa tengan conductas tan nefastas y groseras, que pueden poner en peligro la integridad del personal. Seguramente como esa mujer ha habido muchas, por lo cual sería indicado para que en cuanto exista una conducta similar de cualquier asistente a las oficinas, sea evacuado inmediatamente.",2016-01-09
207,SFP54,SFP-04-001,No,Sí,Den los datos que se solicitan es una perdida de tiempo tramitar las cosas en sus oficinas ya que son muy lentos y atienden pésimo.,TODO,2016-01-09
208,SRE112,SRE-03-002,Sí,No,,"Podrian empezar con tener activa la linea telefónica y el link de internet para agendar las citas, eh intentado hacerlo de ambas formas y ninguna de las dos esta funcionando. 
Por su atención gracias",2016-01-09
209,SRE113,SRE-03-003,No,Sí,"Donde se hace la cita, no esta claro... donde esta el formato,","La información esta muy alargada y hay algunas inconsistencias entre los documentos que se deben presentar, sobre todo en la información complementaria",2016-01-10
210,SRE113,SRE-03-003,No,Sí,"en caso de renovacion hace falta poner si se ocupan fotos y tambien hace falta el formato para pagar, considero que esta nuev actualizacion  de la pagina hace mas complicado el tramite puesto que la forma de antes era mucho mas facil de entender y todo estaba a la mano, era mas rapido antes y todo quedaba claro ademas no se puede acceder a la opcion de citas por internet.",completar los pasos que debemos seguir por que siento que la informacion esta a medias ademas cambiar el formato de la pagina porque no se entiende.,2016-01-11
214,INM820,INM-03-009-D,Sí,No,,Formato Básico ¿en donde se puede llenar?,2016-01-11
215,SRE113,SRE-03-003,Sí,Sí,Lugares y cuentas y/o referencias para realizar los respectivos pagos,Lo que propongo en la sección anterior.,2016-01-11
216,CFE177,CFE-00-004,Sí,No,,"A LA HORA DE CARGAR LOS DATOS DEL DOMICILIO COMO EL MUNICIPIO Y LA COLONIA, LA PAGINA SE BOQUEA O FALLA EL SISTEMA Y TIENES QUE VOLVER A CARGAR LOS DATOS. ES MUY TARDADO TIENES QUE INTENTARLO VARIAS VECES. EN MI CASO ABRI LOS EXPLORADORES GOOGLE CHROME, MOZILLA FIREFOX E INTERNET EXPLORER Y CON TODOS ES EL MISMO ERROR.",2016-01-11
217,IMSS164,IMSS-02-008,Sí,Sí,"yo quiero cambiarme de consultorio, ya que estoy dada de alta en otro municipio y no puedo, ya que tengo que ir directo al nvo consultorio, podrían hacerlo más fácil vía Internet así los que tenemos horario corrido se nos fascilitarian los trámites.","el trámite de cambio de consultorios vía Internet, que no aparezca la pantalla de que ya esta asignado el nss",2016-01-11
218,SFP54,SFP-04-001,No,Sí,"En General, es una porquería su pagina. No está a la altura de otras páginas y la información  está pésimamente clasificada. información encimada. teléfonos mal separados entre sí etc.etc.",todo,2016-01-11
219,SEP71,SEP-01-031-A,No,No,,"QUE SEAN SERIOS EN ESTE TIPO DE TRAMITES, SON UNOS BURÓCRATAS DE TERCER MUNDO, TENGO MAS DE DOS MESES QUE NO ME HAN RESUELTO MI TRAMITE DE CEDULA",2016-01-12
221,SEDENA38,SEDENA-01-009,Sí,Sí,Donde se puede realizar el pago correspondiente y por ende los números de referencia para hacerlo ó en su caso poder imprimir una hoja para poder hacer el pago,Hacer los pagos en línea por transferencia sería una buena opción,2016-01-12
222,IMSS164,IMSS-02-008,Sí,No,,que el tramite sea por via internet,2016-01-12
223,SRE144,SRE-03-007-A,Sí,Sí,la forma para pagar !! donde pago ? dice los montos pero no viene la forma ni donde debo pagar,poner el formato en los costos,2016-01-12
224,AFSEDF842,AFSEDF-01-014,Sí,Sí,Indicar fechas o proceso a seguir,Esquematización del contenido de la página para localizar rápidamente la información. Gracias!,2016-01-12
225,SRE113,SRE-03-003,No,Sí,"No se puede sacar la cita vía Internet, lo que vuelve pésimo el trámite, ya que la línea 01800 no entre en forma inmediata y más aun, señalan que el trámite se puede hacer vía Internet, lo que es falso",que los trámites puedan ser vía electrónica para ser más expeditos,2016-01-12
227,SRE113,SRE-03-003,Sí,Sí,"No dicen la manera en que se paga. Ya fui a las oficinas, hice la cita vía telefónica, leí en la página y no encuentro esa información y nadie está dispuesto a proporcionarla. 
Solicito esa información para pasar a pagar para mi cita.
correo electrónico: juanito_580@hotmail.com","En la sección que explica que debes llevar dos fotografías, dice que se deben de llevar copias fotostáticas en tamaño carta, pero no se sabe de qué. Estoy molesto con este servicio y más con el servicio del personal, a razón que la información no es proporcionada a tiempo y así puedo perder mi cita sólo por desinformación.",2016-01-12
228,INM794,INM-03-002-E,Sí,Sí,"Todos los documentos deben incluir copia, al igual q se debe llevar original y copia del pasaporte del conyuge.","Aclarar la informacion completa necesaria para no perder tiempo en el tramite en las oficinas, ya que el horario de atención es muy reducido",2016-01-12
229,INM794,INM-03-002-E,Sí,Sí,"Todos los documentos deben incluir copia, al igual q se debe llevar original y copia del pasaporte del conyuge.","Aclarar la informacion completa necesaria para no perder tiempo en el tramite en las oficinas, ya que el horario de atención es muy reducido",2016-01-12
231,NAFIN486,NAFIN-05-003,No,Sí,como es el proceso,no deberian considera la busqueda de un historial crediticio en el buro de credito,2016-01-13
233,SRE112,SRE-03-002,Sí,No,,El centro de atención 018008010773 debería tener la capacidad de cancelar o reprogramar citas,2016-01-13
234,INM616,INM-03-003-C,No,Sí,"ESTA PÉSIMA ESTA PAGINA! NO SE ENCUENTRA FÁCILMENTE LA INFORMACIÓN Y NO SE ENCUENTRA EL VINCULO PARA HACER LAS PRE-SOLICITUDES! ESTABA MEJOR LA ANTERIOR, ESTA PARECE MAS PROPAGANDA QUE OTRA COSA!..MEGAFAIL!",AMMMM...TODOOOO!,2016-01-13
236,SRE112,SRE-03-002,Sí,Sí,"reimprimir citas de pasaporte, asimismo realizar citas via internet, asi como cancelar citas y reprogramarlas en otra delegación u oficina de enlace","liberar formatos de OP-5, OP-7, Y TODOS LOS DEMAS FORMATOS PARA EFICIENTAR Y DARLE RAPIDEZ A LOS TRAMITES",2016-01-13
239,SRE113,SRE-03-003,Sí,Sí,"Los requisitos específicos en forma de lista, así como saber si necesitan copias de los documentos que hay que llevar.",Es necesario que especifiquen requisitos ya que por teléfono dan información diferente.,2016-01-14
243,SRE577,SRE-01-020-G,No,Sí,"Antes todo era super Fácil , ahora parece que te hacen un favor en tramitar el pasaporte . Antes podias sacar citas por internet ahora solo llamando y nunca contestan",Facilitar el tramite simplemente es imposible sacar una cita,2016-01-14
244,SFP54,SFP-04-001,No,Sí,"la hoja de ayuda para pagos por la supervisión de importación de mercancías para pirotecnia y químicos, antes era muy sencillo, ahora no la encuentro son 295 pesos",la obtención de la hoja de ayuda mencionada,2016-01-14
247,INM797,INM-03-005-B,Sí,No,,"Buenas tardes, creo que en la sección de requisitos punto 2 (En caso de cambio de domicilio, comprobante de domicilio cuya fecha de expedición no exceda de treinta días naturales) se debería especificar ""comprobante de domicilio a nombre del empleador"". Saludos",2016-01-15
252,SRE112,SRE-03-002,No,Sí,"Ustedes ponen en la sección de PAGO:
""Comprobante de pago de derechos productos o aprovechamientos"" - ORIGINAL

Y qué onda? Se lo pido a mi vecina? o voy y le pago a ella o qué?","POR FAVOR!

Pongan en un lugar visible y fácil de encontrar una Ficha de Pago a algún documento para descargar y pagar o aclaren cómo y donde se realiza el pago. Nos ahorrarían mucho tiempo.

GRACIAS!",2016-01-15
253,SE66,SE-09-041,No,Sí,"como se ve status del tramite?.
realice el tramite el 10 deenero y no se cómo va,
luis armando carranza camarena
5546387814",colcandoun módulo de consulta de trámite,2016-01-15
254,SFP54,SFP-04-001,Sí,No,,"Es un cuello de botella la captura de datos. Es hasta ilógico. 
Se recibe información o documentos en 4 ventanillas y en sólo 3 se toma foto, huellas, captura de iris y firma. Es más tardado.
La gente parada sin un orden.
Las personas que están en ventanilla hablan bajo. Por lo que no se escucha cuándo llaman. A parte de la gente hablando.
No creó que esto de las citas sirva de mucho. No creó haber recibido un trató más rápido.",2016-01-15
255,SFP54,SFP-04-001,Sí,No,,Buenas tardes solícite la beca issfam primaria me la ortogaron me dicen que la transferencia ya se hizo pero ami cuenta no a llegado el pago que debo hacer,2016-01-16
257,SRE112,SRE-03-002,Sí,Sí,Formato a llenar,Las citas que se hagan por internet nuevamente,2016-01-16
258,SRE112,SRE-03-002,Sí,Sí,Dónde diablos hago la maldita cita?,Poner en el punto 1 donde dice que con previa cita el enlace a donde tiene que ir uno a sacar la cita por internet!!!,2016-01-17
262,SEDENA38,SEDENA-01-009,No,Sí,"para hacer la reposición de la cartilla del servicio militar, piden la formato e5  y en la pagina no esta formato o al menos no es clara la pagina con este requisito...",Aclarando esta situación de los formatos...,2016-01-18
265,SRE96,SRE-01-011-B,Sí,No,,Atención por vía telefónica.,2016-01-18
267,SRE99,SRE-01-019-B,No,Sí,el pago en moneda mexicana y el poder llenar el formato e5cinco de hoja de ayuda para pago en ventanilla,regresar a la antigua pagina de gob.mx,2016-01-18
268,SRE113,SRE-03-003,Sí,Sí,cómo agendar y cancelar citas,poner como agendar y cancelar citas,2016-01-18
270,ISSSTE848,ISSSTE-06-001-A,Sí,Sí,"Estado de cuenta de cheques reciente de los últimos 3 meses que contenga el número de cuenta y la clabe Interbancaria, a nombre del ex-trabajador, en lugar del contrato de bancario, ya que en mi caso como el de muchos, la celebración del contrato fue hace años y por alguna razón no lo tenemos disponible.","Sustituir el Estado de cuenta de cheques reciente de los últimos 3 meses que contenga el número de cuenta y la clabe Interbancaria, a nombre del ex-trabajador, en lugar del contrato de bancario, ya que en mi caso como el de muchos, la celebración del contrato fue hace años y por alguna razón no lo tenemos disponible.",2016-01-18
271,SRE112,SRE-03-002,Sí,Sí,no encuentro el apartado para hacer la cita por internet!!,arreglen la página!!,2016-01-18
272,SRE572,SRE-01-020-A,No,Sí,en donde se debe de pagar el costo del pasaporte?!?!,"agregar mas información, relacionada a los costos.",2016-01-18
274,ISSSTE568,ISSSTE-05-006-B,Sí,Sí,que el trámite se haga vía Internet enviando los documentos escaneados para poder hacer la inscripción de conyuge y/o hijos.,que el trámite se haga vía Internet enviando los documentos escaneados para poder hacer la inscripción de conyuge y/o hijos.,2016-01-18
275,AFSEDF842,AFSEDF-01-014,No,Sí,"NO ENCUENTRO EN NINGÚN LADO DE SU PÁGINA LA FORMA PARA PREINSCRIBIR A PRIMARIA, EN AÑOS ANTERIORES HE HECHO EL REGISTRO PARA MIS OTROS HIJOS PERO EN ESTA OCASIÓN YA LLEVO BUSCANDO TODO EL DÍA SIN ÉXITO ALGUNO",VIGILAR QUE LAS ACTUALIZACIONES A LA PÁGINA FUNCIONEN CORRECTAMENTE,2016-01-19
277,SEDENA38,SEDENA-01-009,No,Sí,La liga para generar la línea de captura te redirecciona a la pagina y jamás aparece.,Poner link de línea de captura,2016-01-19
278,SRE112,SRE-03-002,Sí,Sí,Falta indicar en donde puedo pagar y cual es el procedimiento. Si hay que llenar campos hace falta una guía de llenado.,No encontré fácilmente el link para las citas. Tuve que tramitarla vía telefónica.,2016-01-19
280,SEDENA38,SEDENA-01-009,No,Sí,horarios,la liga que produce la linea de captura,2016-01-19
282,AFSEDF842,AFSEDF-01-014,Sí,Sí,OPCIÓN O ENLACE PARA REIMPRIMIR COMPROBANTE DE INSCRIPCION,GRACIAS,2016-01-19
281,SFP54,SFP-04-001,Sí,Sí,"Buenos días: quiero hacer una denuncia pública y anonima, a cargo del C. Celso José Mejia Kuh, quien actualmente labora en el Centro SCT, Yucatán, revisando las nominas del Municipio de Calotmul, 2009 – 2013, cuenta en sus nominas de pago, del Programa de Empleo Temporal, PET. Con las siguientes anomalías, 

•	Nomina, (Recibo de Gratificación), firmas falsas, y personas fantasmas varios de ellos ya muertos.
•	Los cheques tienes firmas Falsificadas.

Dicho presupuesto no llego a la gente que lo necesita pues esta persona en compañía del Presidente en turno Luis Fernely Polanco Tun. Han despilfarrado las nominas del Programa de Empleo Temporal.

Cabe mencionar que esta persona, Celso Jose Mejia Kuh, ha tenido varias denuncias en su contra, en Marzo 20015 fue acusado de falsificación de nominas, en la Residencia en turno, (Mérida poniente), de la cual prácticamente toda la residencia fue dado de baja excepto Celso José, quien sigue despilfarrando el programa de empleo temporal, y aun sigue en nomina del Centro SCT Yucatán. Apadrinado por quien lo solapa el Ing, José Antonio Cortes Barroso. (Quien ya debería de estar jubilado pero sigue en activo) Por favor investiguen a esta persona y sus distintos fraudes así como también sus cómplices (Pagadores) Etc. 

Espero pronta respuesta pues por culpa de personas como esta la comunidad esta vetada en los programas de empleo temporal.","Buenos días: quiero hacer una denuncia pública y anonima, a cargo del C. Celso José Mejia Kuh, quien actualmente labora en el Centro SCT, Yucatán, revisando las nominas del Municipio de Calotmul, 2009 – 2013, cuenta en sus nominas de pago, del Programa de Empleo Temporal, PET. Con las siguientes anomalías, 

•	Nomina, (Recibo de Gratificación), firmas falsas, y personas fantasmas varios de ellos ya muertos.
•	Los cheques tienes firmas Falsificadas.

Dicho presupuesto no llego a la gente que lo necesita pues esta persona en compañía del Presidente en turno Luis Fernely Polanco Tun. Han despilfarrado las nominas del Programa de Empleo Temporal.

Cabe mencionar que esta persona, Celso Jose Mejia Kuh, ha tenido varias denuncias en su contra, en Marzo 20015 fue acusado de falsificación de nominas, en la Residencia en turno, (Mérida poniente), de la cual prácticamente toda la residencia fue dado de baja excepto Celso José, quien sigue despilfarrando el programa de empleo temporal, y aun sigue en nomina del Centro SCT Yucatán. Apadrinado por quien lo solapa el Ing, José Antonio Cortes Barroso. (Quien ya debería de estar jubilado pero sigue en activo) Por favor investiguen a esta persona y sus distintos fraudes así como también sus cómplices (Pagadores) Etc. 

Espero pronta respuesta pues por culpa de personas como esta la comunidad esta vetada en los programas de empleo temporal.",2016-01-19
281,ISSSTE561,ISSSTE-05-007-E,No,Sí,Que la vigencia se pueda tramitar en linea,"Anteriormente la vigencia de derechos se podía tramitar en linea y así podíamos evitarnos tantas vueltas e ir directamente al hospital, ahora hay que ir a la clínica familiar y después al hospital, provocando así perdida de tiempo y largas filas.",2016-01-19
282,SRE112,SRE-03-002,Sí,Sí,"agilizar el proceso para realizar las citas por Internet por estados, ya que en lo personal llevo dos meses tratando de realizar una cita y hasta la fecha no he tenido éxito.",el sistema de programación de citas.,2016-01-19
283,SRE112,SRE-03-002,No,No,,"que se puedan generar las citas en su pagina web, para todas las delegaciones.",2016-01-19
284,SRE572,SRE-01-020-A,Sí,Sí,No es que falte información solo que la pagina no te permite hacer la cita y por teléfono se corta la llamada y nunca puedes hacer cita,Que faciliten la forma de hacer las citas ninguna de las dos funciona .. aparenta que si te registras en línea pero nunca accedes he intentado por horas de las dos formas,2016-01-19
283,SRE112,SRE-03-002,Sí,Sí,DONDE AGENDAR LA CITA,PONER UN ENLACE DONDE SE PUEDAN HACER LAS CITAS O RUSTICAMENTE UN NUMERO TELEFONICO DONDE SE PUEDA HACER LA CITA,2016-01-19
282,SRE112,SRE-03-002,Sí,No,,"Sería de suma utilidad que pudieran realizar un portal de citas como se realizan en el SAT y que el usuario realice su solicitud de hora y fecha desde internet.

Gracias.",2016-01-19
283,SRE113,SRE-03-003,Sí,Sí,EN EL ESTADO DE NUEVO LEON SOLAMENTE VIENE EL MUNICIPIO DE MONTERREY NO TE DA ALTERNATIVA PARA LAS OFICINAS EN OTROS MUNICIPIOS,MAS CLARIDAD,2016-01-19
284,SFP54,SFP-04-001,No,Sí,no se en dónde poder ver para sacar una cita para el  médico,ser más claros en la página,2016-01-19
