is_info_useful,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_es,improvements_es,institution_cat
0,informacion sobre pagos extras y que se nesesita exactamente,ser mas prudentes y hayudar al cliente como es nesesario no tratarlo como a un inepto o que les estan pidiendo un favor,12,0.0,0,informacion sobre pagos extras y que se nesesita exactamente,ser mas prudentes y hayudar al cliente como es nesesario no tratarlo como a un inepto o que les estan pidiendo un favor,723.0
1,,"que en las oficinas dieran prioridad al tramite para los niños, ya que el esperar a veces mas de 3 horas hacen que ellos se desesperen.
gracias.",12,1.0,1,#VALUE!,"Que en las oficinas dieran prioridad al tramite para los niños, ya que el esperar a veces mas de 3 horas hacen que ellos se desesperen.
Gracias.",726.0
1,,"que se pueda hacer la citaen linea com antes. en caso de que si se pueda, entonces mejoren la manera en que se navega a traves de su pagina porque no se entiende nada.",12,0.0,0,#VALUE!,"Que se pueda hacer la citaen línea com antes. EN caso de que si se pueda, entonces mejoren la manera en que se navega a través de su página porque no se entiende nada.",723.0
1,,"tengo una semana tratando de hacer cita al 01-800 8010773 y la grabacion no me acepta el numero 1 en el menu , ni ningun numero, sigue la grabadora hablando y yo nececito una cita. quiero hacer la cita por internet y no funciona . hablo a la oficina de enlace en apodaca y no contestan. hablo a la oficina de monterrey y me dicen que debo hablar al 01800 que mencione para la cita. y como hago cita sino funciona¡¡¡",12,0.0,0,#VALUE!,"tengo una semana tratando de hacer cita al 01-800 8010773 y la grabacion no me acepta el numero 1 en el menu , ni ningun numero, sigue la grabadora hablando y yo nececito una cita. Quiero hacer la cita por internet y no funciona . Hablo a la oficina de enlace en apodaca y no contestan. Hablo a la oficina de monterrey y me dicen que debo Hablar al 01800 que mencione para la cita. Y COMO HAGO CITA SINO FUNCIONA¡¡¡",723.0
0,no estan los documentos para el pago de derechos y el formato para realizar el tramite migratorio.,poner toda la informacion que corresponde al tramite. esta muy excasa.,13,0.0,1,No están los documentos para el pago de derechos y el formato para realizar el trámite migratorio.,Poner toda la información que corresponde al trámite. Está muy excasa.,220.0
1,especificar el papeleo q se requiere para el tramite,el tramite en otros estados asi se podra realizar el tramite mas rapido ya q hay q viajar largas distancias,13,1.0,1,especificar el papeleo q se requiere para el tramite,el tramite en otros estados asi se podra realizar el tramite mas rapido ya q hay q viajar largas distancias,213.0
0,deben poner un listado con direcciones y telefonos,"ahora bien si ya se contaba con un curp correcto porque ahora no existe? fue error al pasar datos, uno nacio foraneo y tiene que conseguir acta de nacimiento original?
uno no puede corregir los errores de la autoridad",13,0.0,0,deben poner un listado con direcciones y telefonos,"Ahora bien si ya se contaba con un CURP correcto porque ahora no existe? fue error al pasar datos, uno nació foraneo y tiene que conseguir acta de nacimiento original?
uno no puede corregir los errores de la autoridad",520.0
1,que hay oficinas en todos los estados de la republica mexicana,que hay oficinas en todos los estados de la republica mexicana,13,1.0,1,Que hay oficinas en todos los estados de la republica mexicana,Que hay oficinas en todos los estados de la republica mexicana,659.0
1,,actualizaron la pagina y no aparece el seguimiento de tramite tengo 1 hora tratando de ver el proceso de mi tramite y nada tengo mas de un mes en espera,13,0.0,1,#VALUE!,Actualizaron la página y no aparece el seguimiento de trámite tengo 1 hora tratando de ver el proceso de mi trámite y nada tengo mas de un mes en espera,706.0
1,"ayer fui a mi cita y no me aceptaron el pago que llevaba del pasaporte, deberian poner un ejemplo o algo para cuando se hacen los pagos por internet.
saludos",sus motivos por rechazo.,13,0.0,1,"Ayer fui a mi cita y no me aceptaron el pago que llevaba del pasaporte, deberían poner un ejemplo o algo para cuando se hacen los pagos por internet.
Saludos",Sus motivos por rechazo.,741.0
1,"utilizar un lenguaje mas fluido y no tan ""formal""
por ejemplo: 
los objetivos, o requisitos que requiere el proyecto para su evaluacion, que explicaran mas a detalle pero mas simplificado y resumido.","los objetivos, o requisitos que requiere el proyecto para su evaluacion, que explicaran mas a detalle pero mas simplificado y resumido.",14,1.0,1,"Utilizar un lenguaje más fluido y no tan ""formal""
Por ejemplo: 
Los objetivos, o requisitos que requiere el proyecto para su evaluación, que explicaran más a detalle pero más simplificado y resumido.","Los objetivos, o requisitos que requiere el proyecto para su evaluación, que explicaran más a detalle pero más simplificado y resumido.",491.0
0,¿donde se agendan las citas? fatal interfase.,"en mucho, derivar en una sola pestaña donde rayos se agendan las citas via internet.",14,0.0,0,¿dónde se agendan las citas? fatal interfase.,"En mucho, derivar en una sola pestaña dónde rayos se agendan las citas vía internet.",732.0
0,"que se indique donde y como bajar el formato de pago y en que institucion bancaria realizarlo.

el formato de la pagina de la secretaria de relaciones exteriores esta muy confusa.

lejos de simplificar los tramites o de encontrar informacion lo confunden mas.","hacer la pagina mas sencilla y no tan complicada.

es imposible acceder al directorio de funcionarios y los datos para contactarlos.

cual simplificacion?

cual transparencia?

un estudiante de bachillerato puede hacer mejor una pagina.",14,0.0,0,"Que se indique dónde y cómo bajar el formato de pago y en qué institución bancaria realizarlo.

El formato de la página de la Secretaría de Relaciones Exteriores está muy confusa.

Lejos de simplificar los trámites o de encontrar información lo confunden más.","Hacer la página más sencilla y no tan complicada.

Es imposible acceder al directorio de funcionarios y los datos para contactarlos.

Cuál simplificación?

Cuál transparencia?

Un estudiante de bachillerato puede hacer mejor una página.",722.0
1,los numeros de cuenta al que se realiza el deposito y las instituciones bancarias en las que se puede realizar el pago.,mas informacion,15,1.0,1,los numeros de cuenta al que se realiza el deposito y las instituciones bancarias en las que se puede realizar el pago.,mas información,722.0
1,"creo que en esta pagina necesita poner el formato de pago de derechos,es que ahora no puedo encontrarlo.especialmente para la persona que no entiende tanto español,como yo.","el website viejo es mejor que lo que nuevo,el nuevo es demasiado complicado",15,0.0,1,"creo que en esta pagina necesita poner el formato de pago de derechos,es que ahora no puedo encontrarlo.especialmente para la persona que no entiende tanto español,como yo.","el website viejo es mejor que lo que nuevo,el nuevo es demasiado complicado",218.0
0,"como hacer el pago, enlace para la forma de pago y lugares donde se puede pagar",agregando datos y el enlace para imprimir el formato de pago de derechos productos y aprovechamiento,15,1.0,1,"Cómo hacer el pago, enlace para la forma de pago y lugares donde se puede pagar",Agregando datos y el enlace para imprimir el formato de pago de derechos productos y aprovechamiento,723.0
1,no se ubica el formato cd-5,suban y/o faciliten la ubicacion de los formatos.,15,1.0,1,No se ubica el formato CD-5,Suban y/o faciliten la ubicacion de los formatos.,748.0
0,las ligas de las oficinas de enlace no funcionan y la informacion resulta algo confusa para mucha gente,"que la informacion sea muy concisa, sin tantos saltos de un link a otro (que de todas maneras no funcionan correctamente) y posiblemente un chat en linea pudiera ser de mucha ayuda para ayudar",15,1.0,2,Las ligas de las oficinas de enlace no funcionan y la información resulta algo confusa para mucha gente,"que la información sea muy concisa, sin tantos saltos de un link a otro (que de todas maneras no funcionan correctamente) y posiblemente un chat en linea pudiera ser de mucha ayuda para ayudar",722.0
0,enfocarse en poder programar la cita por medio de la web,mejorar el programa para poder agendar citas por la web,15,0.0,0,ENFOCARSE EN PODER PROGRAMAR LA CITA POR MEDIO DE LA WEB,MEJORAR EL PROGRAMA PARA PODER AGENDAR CITAS POR LA WEB,722.0
0,estatus de tramite,la paguina web,15,0.0,0,ESTATUS DE TRAMITE,la PAGUINA WEB,659.0
0,proporcionar el nuevo formato dc-4 en version editable,aclarar cuando se puede presentar en electronico o fisico,15,1.0,1,proporcionar el nuevo formato DC-4 en versión editable,aclarar cuando se puede presentar en electrónico o físico,747.0
0,los requisitos para tramitar el pasaporte por internet como se anuncio en el mes de septiembre del 2015,"que se pueda renovar el pasaporte por internet como la sre lo anuncio en el mes de septiembre del 2015. ya que no hay disponibilidad para hacer citas para los meses de enero y febrero del 2016,lo cual es una verdadera problematica para los que requerimos renovacion.",15,0.0,1,Los requisitos para tramitar el pasaporte por internet como se anunció en el mes de septiembre del 2015,"Que se pueda renovar el pasaporte por internet como la SRE lo anunció en el mes de septiembre del 2015. Ya que no hay disponibilidad para hacer citas para los meses de enero y febrero del 2016,lo cual es una verdadera problemática para los que requerimos renovación.",722.0
0,los pasos para hacer una cita no encuentro la manera de hacerla en internet  hay paginas donde piden un pago para poder hacer una cita y para hacer el pago me piden la cita osea que como??????????????? como hacer una cita?paso a paso,entiendo que quieren agilizar el tramite pero no podrian hacer algo simple para mi ha sido mas sencillo hacer una cita para una visa que para un pasaporte,15,1.0,2,los pasos para hacer una cita no encuentro la manera de hacerla en internet  hay paginas donde piden un pago para poder hacer una cita y para hacer el pago me piden la cita osea que como??????????????? como hacer una cita?paso a paso,entiendo que quieren agilizar el tramite pero no podrian hacer algo simple para mi ha sido mas sencillo hacer una cita para una visa que para un pasaporte,723.0
0,la cede de tramite para los que vivimos en la delegacion venustiano carranza,"clarar mejor donde se realiza el tramite y que tiempo lleva este. solo se menciona documentacion y costos, pero no dice nada realmente del proceso.",15,1.0,1,La cede de trámite para los que vivimos en la delegación Venustiano Carranza,"Clarar mejor donde se realiza el trámite y qué tiempo lleva éste. Sólo se menciona documentación y costos, pero no dice nada realmente del proceso.",722.0
1,"me informan que puede realizarse la cita via internet, pero no veo ningun enlace para realizar el tramite.",favor de colocar el enlace para solicitar la cita y realizar el pago del pasaporte,15,1.0,2,"Me informan que puede realizarse la cita via internet, pero no veo ningun enlace para realizar el trámite.",Favor de colocar el enlace para solicitar la cita y realizar el pago del pasaporte,722.0
0,el pinche enlace para sacar la cita,el pinche enlace para sacar la cita,16,0.0,0,el pinche enlace para sacar la cita,el pinche enlace para sacar la cita,722.0
1,,"hacer posible realizar pagos en linea, para evitar colas en el banco.",16,1.0,2,#VALUE!,"Hacer posible realizar pagos en línea, para evitar colas en el banco.",214.0
1,,que las citas sean por internet con opcion a elegir horario.,16,1.0,1,#VALUE!,Que las citas sean por Internet con opción a elegir horario.,732.0
1,"dice:  ¡consulta como realizar la pre-inscripcion a la educacion basica!

¿y por que no colocar el link que te lleva a esa consulta sugerida ?","necesitan un area de aseguramiento de la calidad, yo puedo ayudarles a eso ... este mi celular 55-2532-5086. ofrezco mis servicios profesionales.",16,0.0,0,"DICE:  ¡Consulta como realizar la pre-inscripción a la educación básica!

¿Y POR QUÉ NO COLOCAR EL LINK QUE TE LLEVA A ESA CONSULTA SUGERIDA ?","NECESITAN UN ÁREA DE ASEGURAMIENTO DE LA CALIDAD, YO PUEDO AYUDARLES A ESO ... ESTE MI CELULAR 55-2532-5086. OFREZCO MIS SERVICIOS PROFESIONALES.",0.0
0,,"todo, como tienen para avion nuevo de peña pero no pueden mejorar este sitio de internet para hacer las citas en  linea",16,0.0,0,#VALUE!,"Todo, como tienen para avión nuevo de Peña pero no pueden mejorar este sitio de internet para hacer las citas en  línea",722.0
1,,"en un gobierno tan complejo y controversial como en el que actualmente vivimos, es importante alzar la voz, y si es necesario denunciar y señalar a los malos funcionarios; pero tambien hay que festejar a las instituciones que estan haciendo bien las cosas, y el tramite del pasaporte actualmente es agil, rapido, nada burocratico y con muy buena atencion a los asistentes. el pasado domingo 3 enero asisti a tramitar mi pasaporte en las oficinas de cuajimalpa, el personal en las oficinas te detallan la informacion necesaria, no mas, no menos, la suficiente y clara. dentro de las oficinas habia mujer que evidentemente llevaba su documentacion incompleta, empezo a tener una actitud bastante prepotente al personal que daba los turnos y exigia el suyo, a pesar de que llevaba la documentacion mal. la mujer se acerco a un dictaminador le empezo a gritar groserias y le avento unos documentos, la conducta y actitud de la mujer fue tan explosiva que todos dentro de la oficina nos dimos cuenta. el dictaminador no decia nada, unicamente escuchaba a la señora y respetuosamente la observaba. mi sugerencia es que deberia existir personal de seguridad dentro de las oficinas, porque el personal de las ventanillas, ni tampoco el que entrega los turnos, merecen que señoras como esa tengan conductas tan nefastas y groseras, que pueden poner en peligro la integridad del personal. seguramente como esa mujer ha habido muchas, por lo cual seria indicado para que en cuanto exista una conducta similar de cualquier asistente a las oficinas, sea evacuado inmediatamente.",17,2.0,2,#VALUE!,"En un gobierno tan complejo y controversial como en el que actualmente vivimos, es importante alzar la voz, y si es necesario denunciar y señalar a los malos funcionarios; pero también hay que festejar a las instituciones que están haciendo bien las cosas, y el tramite del pasaporte actualmente es ágil, rápido, nada burocrático y con muy buena atención a los asistentes. El pasado domingo 3 enero asistí a tramitar mi pasaporte en las oficinas de Cuajimalpa, el personal en las oficinas te detallan la información necesaria, no más, no menos, la suficiente y clara. Dentro de las oficinas había mujer que evidentemente llevaba su documentación incompleta, empezó a tener una actitud bastante prepotente al personal que daba los turnos y exigía el suyo, a pesar de que llevaba la documentación mal. La mujer se acercó a un dictaminador le empezó a gritar groserías y le aventó unos documentos, la conducta y actitud de la mujer fue tan explosiva que todos dentro de la oficina nos dimos cuenta. El dictaminador no decía nada, únicamente escuchaba a la señora y respetuosamente la observaba. Mi sugerencia es que debería existir personal de seguridad dentro de las oficinas, porque el personal de las ventanillas, ni tampoco el que entrega los turnos, merecen que señoras como esa tengan conductas tan nefastas y groseras, que pueden poner en peligro la integridad del personal. Seguramente como esa mujer ha habido muchas, por lo cual sería indicado para que en cuanto exista una conducta similar de cualquier asistente a las oficinas, sea evacuado inmediatamente.",659.0
0,den los datos que se solicitan es una perdida de tiempo tramitar las cosas en sus oficinas ya que son muy lentos y atienden pesimo.,todo,17,0.0,0,Den los datos que se solicitan es una perdida de tiempo tramitar las cosas en sus oficinas ya que son muy lentos y atienden pésimo.,TODO,659.0
1,,"podrian empezar con tener activa la linea telefonica y el link de internet para agendar las citas, eh intentado hacerlo de ambas formas y ninguna de las dos esta funcionando. 
por su atencion gracias",17,0.0,0,#VALUE!,"Podrian empezar con tener activa la linea telefónica y el link de internet para agendar las citas, eh intentado hacerlo de ambas formas y ninguna de las dos esta funcionando. 
Por su atención gracias",722.0
0,"donde se hace la cita, no esta claro... donde esta el formato,","la informacion esta muy alargada y hay algunas inconsistencias entre los documentos que se deben presentar, sobre todo en la informacion complementaria",18,1.0,0,"Donde se hace la cita, no esta claro... donde esta el formato,","La información esta muy alargada y hay algunas inconsistencias entre los documentos que se deben presentar, sobre todo en la información complementaria",723.0
0,"en caso de renovacion hace falta poner si se ocupan fotos y tambien hace falta el formato para pagar, considero que esta nuev actualizacion  de la pagina hace mas complicado el tramite puesto que la forma de antes era mucho mas facil de entender y todo estaba a la mano, era mas rapido antes y todo quedaba claro ademas no se puede acceder a la opcion de citas por internet.",completar los pasos que debemos seguir por que siento que la informacion esta a medias ademas cambiar el formato de la pagina porque no se entiende.,19,1.0,1,"en caso de renovacion hace falta poner si se ocupan fotos y tambien hace falta el formato para pagar, considero que esta nuev actualizacion  de la pagina hace mas complicado el tramite puesto que la forma de antes era mucho mas facil de entender y todo estaba a la mano, era mas rapido antes y todo quedaba claro ademas no se puede acceder a la opcion de citas por internet.",completar los pasos que debemos seguir por que siento que la informacion esta a medias ademas cambiar el formato de la pagina porque no se entiende.,723.0
1,,formato basico ¿en donde se puede llenar?,19,1.0,1,#VALUE!,Formato Básico ¿en donde se puede llenar?,217.0
1,lugares y cuentas y/o referencias para realizar los respectivos pagos,lo que propongo en la seccion anterior.,19,1.0,2,Lugares y cuentas y/o referencias para realizar los respectivos pagos,Lo que propongo en la sección anterior.,723.0
1,,"a la hora de cargar los datos del domicilio como el municipio y la colonia, la pagina se boquea o falla el sistema y tienes que volver a cargar los datos. es muy tardado tienes que intentarlo varias veces. en mi caso abri los exploradores google chrome, mozilla firefox e internet explorer y con todos es el mismo error.",19,0.0,0,#VALUE!,"A LA HORA DE CARGAR LOS DATOS DEL DOMICILIO COMO EL MUNICIPIO Y LA COLONIA, LA PAGINA SE BOQUEA O FALLA EL SISTEMA Y TIENES QUE VOLVER A CARGAR LOS DATOS. ES MUY TARDADO TIENES QUE INTENTARLO VARIAS VECES. EN MI CASO ABRI LOS EXPLORADORES GOOGLE CHROME, MOZILLA FIREFOX E INTERNET EXPLORER Y CON TODOS ES EL MISMO ERROR.",22.0
1,"yo quiero cambiarme de consultorio, ya que estoy dada de alta en otro municipio y no puedo, ya que tengo que ir directo al nvo consultorio, podrian hacerlo mas facil via internet asi los que tenemos horario corrido se nos fascilitarian los tramites.","el tramite de cambio de consultorios via internet, que no aparezca la pantalla de que ya esta asignado el nss",19,0.0,1,"yo quiero cambiarme de consultorio, ya que estoy dada de alta en otro municipio y no puedo, ya que tengo que ir directo al nvo consultorio, podrían hacerlo más fácil vía Internet así los que tenemos horario corrido se nos fascilitarian los trámites.","el trámite de cambio de consultorios vía Internet, que no aparezca la pantalla de que ya esta asignado el nss",134.0
0,"en general, es una porqueria su pagina. no esta a la altura de otras paginas y la informacion  esta pesimamente clasificada. informacion encimada. telefonos mal separados entre si etc.etc.",todo,19,0.0,0,"En General, es una porquería su pagina. No está a la altura de otras páginas y la información  está pésimamente clasificada. información encimada. teléfonos mal separados entre sí etc.etc.",todo,659.0
1,"no dicen la manera en que se paga. ya fui a las oficinas, hice la cita via telefonica, lei en la pagina y no encuentro esa informacion y nadie esta dispuesto a proporcionarla. 
solicito esa informacion para pasar a pagar para mi cita.
correo electronico: juanito_580@hotmail.com","en la seccion que explica que debes llevar dos fotografias, dice que se deben de llevar copias fotostaticas en tamaño carta, pero no se sabe de que. estoy molesto con este servicio y mas con el servicio del personal, a razon que la informacion no es proporcionada a tiempo y asi puedo perder mi cita solo por desinformacion.",20,0.0,0,"No dicen la manera en que se paga. Ya fui a las oficinas, hice la cita vía telefónica, leí en la página y no encuentro esa información y nadie está dispuesto a proporcionarla. 
Solicito esa información para pasar a pagar para mi cita.
correo electrónico: juanito_580@hotmail.com","En la sección que explica que debes llevar dos fotografías, dice que se deben de llevar copias fotostáticas en tamaño carta, pero no se sabe de qué. Estoy molesto con este servicio y más con el servicio del personal, a razón que la información no es proporcionada a tiempo y así puedo perder mi cita sólo por desinformación.",723.0
0,"no se puede sacar la cita via internet, lo que vuelve pesimo el tramite, ya que la linea 01800 no entre en forma inmediata y mas aun, señalan que el tramite se puede hacer via internet, lo que es falso",que los tramites puedan ser via electronica para ser mas expeditos,20,1.0,1,"No se puede sacar la cita vía Internet, lo que vuelve pésimo el trámite, ya que la línea 01800 no entre en forma inmediata y más aun, señalan que el trámite se puede hacer vía Internet, lo que es falso",que los trámites puedan ser vía electrónica para ser más expeditos,723.0
1,"todos los documentos deben incluir copia, al igual q se debe llevar original y copia del pasaporte del conyuge.","aclarar la informacion completa necesaria para no perder tiempo en el tramite en las oficinas, ya que el horario de atencion es muy reducido",20,0.0,1,"Todos los documentos deben incluir copia, al igual q se debe llevar original y copia del pasaporte del conyuge.","Aclarar la informacion completa necesaria para no perder tiempo en el tramite en las oficinas, ya que el horario de atención es muy reducido",200.0
1,indicar fechas o proceso a seguir,esquematizacion del contenido de la pagina para localizar rapidamente la informacion. gracias!,20,1.0,2,Indicar fechas o proceso a seguir,Esquematización del contenido de la página para localizar rápidamente la información. Gracias!,0.0
1,la forma para pagar !! donde pago ? dice los montos pero no viene la forma ni donde debo pagar,poner el formato en los costos,20,0.0,0,la forma para pagar !! donde pago ? dice los montos pero no viene la forma ni donde debo pagar,poner el formato en los costos,729.0
1,,que el tramite sea por via internet,20,1.0,1,#VALUE!,que el tramite sea por via internet,134.0
1,donde se puede realizar el pago correspondiente y por ende los numeros de referencia para hacerlo o en su caso poder imprimir una hoja para poder hacer el pago,hacer los pagos en linea por transferencia seria una buena opcion,20,2.0,2,Donde se puede realizar el pago correspondiente y por ende los números de referencia para hacerlo ó en su caso poder imprimir una hoja para poder hacer el pago,Hacer los pagos en línea por transferencia sería una buena opción,471.0
0,,"que sean serios en este tipo de tramites, son unos burocratas de tercer mundo, tengo mas de dos meses que no me han resuelto mi tramite de cedula",20,0.0,0,#VALUE!,"QUE SEAN SERIOS EN ESTE TIPO DE TRAMITES, SON UNOS BURÓCRATAS DE TERCER MUNDO, TENGO MAS DE DOS MESES QUE NO ME HAN RESUELTO MI TRAMITE DE CEDULA",600.0
0,como es el proceso,no deberian considera la busqueda de un historial crediticio en el buro de credito,21,1.0,0,como es el proceso,no deberian considera la busqueda de un historial crediticio en el buro de credito,303.0
1,,el centro de atencion 018008010773 deberia tener la capacidad de cancelar o reprogramar citas,21,1.0,2,#VALUE!,El centro de atención 018008010773 debería tener la capacidad de cancelar o reprogramar citas,722.0
